"Time","X","Y","Z"
"1","0.21279907","5.8916473","7.423111"
"13","0.248703","5.874893","7.4183197"
"20","0.28701782","5.855728","7.509308"
"55","0.33969116","5.815033","7.7175903"
"62","0.27503967","5.640259","7.8923798"
"86","0.14575195","5.613922","8.055176"
"96","0.33729553","5.6857452","8.0456085"
"128","0.2846222","5.704895","7.8923798"
"131","0.033233643","5.712082","8.215591"
"143","0.0068969727","5.5995483","8.19165"
"179","-0.040985107","5.609131","8.498108"
"183","-0.19421387","5.554062","8.6345825"
"195","-0.1966095","5.431961","8.507675"
"228","-0.038604736","5.498993","8.426285"
"234","0.56474304","5.815033","8.419098"
"245","0.6389618","5.894043","8.455017"
"277","0.6700897","5.98024","8.720764"
"295","0.32531738","5.798279","8.325729"
"330","0.33010864","5.807846","8.323334"
"342","0.33010864","5.5995483","8.024048"
"348","0.33250427","5.582794","7.763092"
"387","0.33729553","5.50618","7.758301"
"413","0.20082092","5.625885","8.19165"
"422","0.038009644","5.50618","8.507675"
"446","-0.07211304","5.419983","8.569931"
"449","-0.15351868","5.4582977","8.687241"
"460","-2.89917E-4","5.479843","8.543594"
"481","0.0068969727","5.340988","8.469376"
"490","-0.14872742","5.194931","8.246719"
"505","-0.1343689","5.130295","8.378403"
"514","-0.1846466","5.1805725","8.002502"
"520","-0.1056366","5.2045135","8.122223"
"545","-0.11999512","5.293091","8.459793"
"553","-0.15351868","5.34816","8.404739"
"572","-0.11042786","5.56604","8.94104"
"581","-0.0026855469","5.1997223","9.13736"
"609","0.004501343","5.2715454","8.948212"
"612","-0.3115387","5.233246","9.127777"
"624","-0.19421387","5.3385925","8.711197"
"644","-0.1631012","5.336197","8.696823"
"653","0.033233643","5.293091","8.426285"
"670","-0.026626587","5.233246","8.299393"
"673","-0.30914307","5.182968","8.282623"
"684","-0.55574036","5.0848083","8.332901"
"704","-0.6299591","5.036911","8.409515"
"714","-0.69221497","4.9315796","8.9865265"
"735","-0.6802368","4.9435425","8.806961"
"761","-0.20379639","5.2045135","8.524445"
"767","-0.1559143","5.1255035","8.718369"
"786","-0.24928284","5.1326904","8.677673"
"809","-0.68981934","4.9746704","8.672882"
"821","-0.60362244","5.008194","8.680069"
"840","-0.503067","5.0225525","8.706406"
"848","-0.39294434","5.0895844","8.677673"
"873","-0.3690033","5.0584717","8.80217"
"881","-0.42884827","5.036911","8.72316"
"907","-0.41448975","5.07283","8.775833"
"909","-0.40011597","5.0536804","8.790192"
"921","-0.16070557","5.15184","8.826111"
"939","-0.11999512","5.1997223","8.794983"
"950","-0.127182","5.17099","8.833298"
"961","-0.2828064","5.135086","8.591476"
"983","-0.32589722","5.0704346","8.651337"
"994","-0.6108093","4.989029","8.52684"
"1021","-0.558136","5.0034027","8.730347"
"1032","-0.40011597","5.07283","8.715973"
"1054","-0.3235016","5.1446533","8.756683"
"1064","-0.2421112","5.115921","8.809357"
"1087","-0.340271","5.0608673","8.744705"
"1096","-0.6946106","4.917206","8.749496"
"1105","-0.7664337","4.826233","8.771042"
"1123","-0.81910706","4.8477783","8.68486"
"1134","-0.5078583","5.032135","8.478958"
"1154","-0.33787537","5.0345306","8.490921"
"1166","-0.21577454","5.218872","8.617813"
"1192","-0.25886536","5.139862","8.759079"
"1196","-0.25886536","5.2236633","8.682465"
"1221","-0.2540741","5.273941","8.438248"
"1229","-0.34983826","5.1183167","8.54599"
"1240","-0.29716492","5.261978","8.715973"
"1261","-0.26365662","5.317047","8.818924"
"1269","-0.031417847","5.439148","8.897934"
"1292","0.038009644","5.364929","8.823715"
"1303","-0.2828064","5.3074646","8.816528"
"1323","-0.261261","5.336197","8.665695"
"1331","-0.18943787","5.2715454","8.799774"
"1340","-0.30195618","5.185364","8.553177"
"1369","-0.29478455","5.202118","8.40712"
"1382","-0.35702515","5.2356415","8.443039"
"1402","-0.36421204","5.2523956","8.553177"
"1412","-0.1966095","5.4343567","8.335297"
"1440","-0.2421112","5.3792877","8.098282"
"1443","-0.16789246","5.384079","8.110245"
"1455","-0.38336182","5.3625336","8.177277"
"1474","-0.41209412","5.321823","8.2634735"
"1484","-0.49349976","5.3074646","8.462189"
"1504","-0.4312439","5.3792877","8.378403"
"1515","-0.14393616","5.443939","8.471771"
"1541","-0.0074768066","5.451111","8.445435"
"1547","0.19363403","5.589981","8.378403"
"1572","0.1409607","5.578003","8.474167"
"1580","-0.048171997","5.534912","8.715973"
"1610","-0.08169556","5.4726562","8.838089"
"1618","0.15293884","5.534912","8.481354"
"1642","0.20561218","5.633072","8.352066"
"1651","0.16490173","5.621109","8.337692"
"1672","0.26785278","5.601944","8.280228"
"1681","0.0715332","5.64505","8.378403"
"1719","0.057174683","5.5995483","8.208405"
"1751","-0.06971741","5.503784","8.129395"
"1763","-0.019439697","5.609131","8.471771"
"1795","0.047592163","5.5923767","8.668091"
"1807","-0.17027283","5.384079","8.763855"
"1814","-0.23252869","5.3888702","8.6944275"
"1845","-0.23971558","5.364929","8.543594"
"1854","0.24391174","5.72406","7.8444824"
"1881","0.24630737","5.752777","7.8277283"
"1891","0.16490173","5.7072906","7.8875885"
"1918","0.011672974","5.597168","8.423889"
"1930","0.045196533","5.5708313","8.708801"
"1952","0.2199707","5.606735","8.34967"
"1961","0.30137634","5.795883","8.014481"
"1972","0.3348999","5.774338","8.024048"
"1993","0.37319946","5.7695465","7.9857483"
"2004","0.10984802","5.704895","8.182068"
"2020","0.10984802","5.740814","8.390366"
"2022","0.030838013","5.680954","8.591476"
"2044","0.07632446","5.661804","8.905121"
"2070","0.31095886","5.736023","8.514862"
"2078","0.3468628","5.8653107","8.225174"
"2101","0.38278198","5.9131927","8.074326"
"2106","0.13139343","5.767151","7.8013916"
"2124","0.13139343","5.740814","7.7223816"
"2126","0.002105713","5.6977234","7.7295685"
"2136","-0.115219116","5.704895","7.8085785"
"2156","-0.1559143","5.6737823","7.787033"
"2167","0.18406677","5.712082","8.553177"
"2189","0.24630737","5.7024994","8.474167"
"2198","0.29180908","5.7503967","8.244324"
"2226","0.20561218","5.72406","8.138977"
"2228","0.17448425","5.771942","8.19165"
"2254","0.14575195","5.688141","7.8133698"
"2263","0.24630737","5.74321","8.380783"
"2269","0.30377197","5.7503967","8.378403"
"2287","0.3348999","5.7863007","8.385574"
"2300","0.3564453","5.827011","8.675278"
"2328","0.30856323","5.853348","8.646545"
"2357","0.35404968","5.7815094","8.399948"
"2361","0.41151428","5.853348","8.165314"
"2371","0.2558899","5.774338","8.265869"
"2389","0.29658508","5.783905","7.9043427"
"2391","0.2558899","5.719269","8.22995"
"2402","0.27503967","5.704895","8.251511"
"2424","0.26307678","5.7503967","8.086304"
"2434","0.28941345","5.8054504","7.858856"
"2457","0.2558899","5.779114","7.8492737"
"2463","0.29658508","5.795883","8.14856"
"2489","0.26068115","5.831787","8.352066"
"2496","0.327713","5.8054504","8.395157"
"2523","0.248703","5.771942","8.419098"
"2535","0.2271576","5.6761627","8.567535"
"2556","0.24391174","5.6474457","8.320938"
"2568","0.18885803","5.6785583","7.9618073"
"2586","0.13139343","5.6905365","7.916321"
"2589","0.11462402","5.7024994","8.06955"
"2611","0.15533447","5.6761627","8.119827"
"2620","0.2774353","5.740814","8.328125"
"2640","0.23194885","5.716873","8.249115"
