"Time","X","Y","Z"
"3","0.84246826","5.288315","8.198837"
"10","0.8640137","5.226059","8.399948"
"20","0.81134033","5.1997223","8.541199"
"31","0.7730408","5.1638184","8.981735"
"70","0.66529846","5.17099","8.964981"
"73","0.6461487","5.1494446","8.957794"
"85","0.7251587","5.1326904","8.854843"
"121","0.7467041","5.1614227","8.6393585"
"124","0.7299347","5.1638184","8.44783"
"137","0.73472595","5.2547913","8.34967"
"171","0.7873993","5.26915","8.277832"
"175","0.74909973","5.1566315","8.435852"
"188","0.6964264","5.2236633","8.6633"
"226","0.72036743","5.2356415","8.912308"
"242","0.7083893","5.2212677","8.794983"
"282","0.7658539","5.2164764","8.682465"
"300","0.7873993","5.2404327","8.46698"
"338","0.7083893","5.2117004","8.617813"
"354","0.7443085","5.0943756","9.032013"
"360","0.84007263","5.182968","8.969757"
"370","0.37319946","4.921997","8.361633"
"413","0.28222656","4.8884735","8.13179"
"423","0.7658539","5.15184","8.905121"
"450","0.69403076","5.1183167","9.0392"
"453","0.6964264","5.051285","8.996094"
"466","0.35884094","5.111145","8.553177"
"496","0.43066406","5.0943756","8.70401"
"507","0.600647","5.0895844","8.409515"
"529","0.60543823","5.0608673","8.510071"
"538","0.5910797","5.1877594","8.512466"
"555","0.5623474","5.0848083","8.40712"
"559","0.5623474","5.09198","8.395157"
"587","0.5312195","5.1207123","8.438248"
"601","0.48812866","5.0943756","8.469376"
"609","0.39953613","5.051285","8.385574"
"627","0.39953613","5.0656433","8.541199"
"629","0.38996887","5.048889","8.574722"
"656","0.6030426","5.1614227","8.826111"
"662","0.6461487","5.154236","8.924271"
"670","0.70121765","5.1661987","8.541199"
"690","0.6485443","5.1326904","8.636963"
"702","0.5120697","5.09198","8.502899"
"731","0.45220947","5.044098","8.282623"
"743","0.30377197","5.001007","8.46698"
"765","0.29180908","4.989029","8.440643"
"773","0.28222656","5.080017","8.696823"
"789","0.31095886","5.07283","8.64415"
"796","0.37799072","5.1255035","8.739914"
"803","0.46418762","5.09198","8.749496"
"818","0.42347717","5.0824127","8.82132"
"826","0.5743103","5.123108","8.948212"
"842","0.61502075","5.1015625","8.739914"
"854","0.41151428","5.0895844","8.756683"
"871","0.41870117","5.0273438","8.629791"
"877","0.30137634","4.9794617","8.622604"
"891","0.28222656","4.898056","8.744705"
"896","0.21040344","4.854965","8.648941"
"907","0.21279907","4.8717194","8.562744"
"920","0.1864624","4.850174","8.759079"
"925","0.25349426","4.929184","8.68486"
"938","0.28222656","4.905243","8.452621"
"947","0.31095886","4.9243927","8.567535"
"957","0.2774353","4.866928","8.56514"
"974","0.24391174","4.93396","8.498108"
"990","0.13858032","4.7855225","8.701614"
"1003","0.1864624","4.8836823","8.936249"
"1009","0.25349426","4.7903137","8.866806"
"1021","0.19602966","4.7975006","9.094269"
"1037","0.10266113","4.778351","8.8524475"
"1056","0.026046753","4.759186","8.905121"
"1074","0.026046753","4.778351","9.201996"
"1096","0.20321655","4.7927094","9.190033"
"1098","0.28222656","4.778351","9.113419"
"1118","0.32292175","4.862137","8.419098"
"1139","0.054779053","4.7256775","8.500504"
"1140","0.047592163","4.6346893","8.553177"
"1153","-0.040985107","4.637085","8.80217"
