"Time","X","Y","Z"
"1","0.95417786","4.1168823","9.234055"
"18","0.77819824","4.2138367","8.148285"
"28","0.78538513","4.2689056","7.79274"
"50","0.79615784","4.2796783","7.7077484"
"76","1.0056458","4.3263702","8.0082245"
"84","1.1337433","4.3874207","8.233276"
"113","1.3946991","4.4736176","8.807892"
"140","1.085846","4.2593384","9.054489"
"145","1.0008545","4.2138367","8.965897"
"171","0.8380585","4.080963","8.7552185"
"175","0.7638397","4.0438538","8.691772"
"198","0.7662201","4.0223083","8.707336"
"212","0.8739624","4.1096954","8.812668"
"225","0.9781189","4.2449646","9.099976"
"245","1.0391693","4.2557373","9.448334"
"260","0.7351074","4.0043488","10.281525"
"277","0.52560425","3.4524841","10.311447"
"291","0.4501953","3.1843414","9.769165"
"310","0.34126282","3.348343","8.575653"
"327","0.3675995","3.3639069","7.9292145"
"345","0.1078186","3.4572754","7.777176"
"361","-0.03703308","3.4764252","7.8262634"
"377","0.19161987","3.8319702","8.408051"
"383","0.4801178","3.638031","8.654663"
"396","0.6572876","3.6092987","8.896469"
"410","0.61061096","3.6907043","9.219696"
"427","0.5088501","3.5769806","9.556076"
"431","0.48970032","3.4979706","9.594376"
"444","0.42744446","3.5889587","9.539322"
"463","0.44659424","3.6164856","9.279541"
"477","0.62976074","3.6045227","8.925201"
"497","0.5100403","3.5949402","8.890488"
"510","0.37956238","3.4692383","9.2556"
"526","0.34843445","3.365097","9.526154"
"542","0.42025757","3.4417114","9.699722"
"562","0.59265137","3.696701","9.506989"
"578","0.6249695","3.8247833","9.326233"
"593","0.7937622","4.1887054","8.738449"
"611","0.83924866","4.716629","8.54332"
"626","0.6967926","4.4341125","8.694168"
"642","0.7039795","3.875061","8.477493"
"648","0.7518616","4.0270996","8.428406"
"657","0.91586304","4.26532","8.430801"
"675","1.2115479","4.4700165","8.442764"
"694","1.4641418","4.589737","8.546921"
"697","1.3504181","4.58374","8.672607"
"710","1.1971893","4.462845","8.7947235"
"727","1.1062012","4.341934","8.898865"
"744","1.0439606","4.2832794","8.798309"
"747","1.0523376","4.2928467","8.66423"
"759","1.0295868","4.3503113","8.617554"
"778","1.0008545","4.412567","8.599594"
"794","1.0044556","4.4257355","8.615158"
"809","0.9577637","4.3562927","8.66423"
"829","0.9805145","4.2964478","8.740845"
"845","1.0092316","4.3431244","8.690567"
"862","1.0619049","4.3981934","8.66304"
"878","1.0942383","4.428116","8.573257"
"899","1.1098022","4.4664307","8.552902"
"913","1.0487366","4.483185","8.484665"
"937","1.0020599","4.4496765","8.606766"
"943","0.9577637","4.385025","8.70015"
"969","1.0379639","4.3586884","8.833023"
"973","1.1361237","4.407776","8.763596"
"1006","1.2809753","4.5298767","8.58403"
"1013","1.2929535","4.5322723","8.521774"
"1046","1.1744385","4.4748077","8.500229"
"1053","1.089447","4.5131226","8.740845"
"1089","1.0475464","4.383835","8.737259"
"1094","1.1014099","4.464035","8.633102"
"1120","1.1923981","4.4843903","8.627121"
"1125","1.2666168","4.491562","8.560089"
"1152","1.188797","4.4927673","8.512207"
"1156","1.1516876","4.42453","8.491852"
"1184","1.204361","4.4293213","8.530151"
"1198","1.2642212","4.4843903","8.649872"
