"Time","X","Y","Z"
"18","0.812912","7.376587","6.2808075"
"28","0.986496","7.1491394","6.2089844"
"40","1.0954285","7.1347656","6.417282"
"62","1.1241608","7.188629","6.610016"
"79","1.0080414","7.2844086","7.06131"
"94","0.9170685","7.120407","7.080475"
"110","0.72792053","7.084488","6.8135223"
"127","0.5375824","7.1814575","6.54657"
"144","0.43582153","7.2460938","6.319107"
"160","0.59384155","7.2963715","6.125183"
"176","0.6776428","7.23053","6.1670837"
"192","0.6884155","7.140747","6.183838"
"208","0.69918823","7.116806","6.226944"
"228","0.6824341","7.2125854","6.254471"
"244","0.48490906","7.3167267","6.2401123"
"260","0.5172272","7.2760315","6.3442535"
"275","0.49209595","7.2329254","6.393341"
"291","0.5124359","7.254471","6.3406677"
"307","0.6369324","7.228134","6.386154"
"324","0.6608887","7.254471","6.276016"
"340","0.6141968","7.234131","6.262848"
"356","0.6070099","7.247299","6.235321"
"373","0.61180115","7.1814575","6.4029083"
"391","0.59384155","7.2173615","6.443619"
"410","0.5303955","7.243698","6.460373"
"422","0.595047","7.321518","6.4986725"
"449","0.61180115","7.345459","6.465164"
"460","0.5687103","7.3274994","6.437622"
"505","0.5447693","7.353836","6.460373"
"545","0.4873047","7.242508","6.4232635"
"554","0.5459595","7.4136963","6.496292"
"597","0.53279114","7.432846","6.4591675"
"607","0.2514801","7.2520905","6.104828"
"645","0.24787903","7.270035","6.092865"
"661","0.17126465","7.2449036","6.6016235"
"702","0.100631714","7.186249","6.667465"
"711","-0.24053955","6.898941","6.3909454"
"746","-0.16871643","7.0581512","6.2724304"
"750","-0.1375885","7.104843","6.247284"
"785","-0.30877686","6.989914","6.477127"
"793","-0.2979889","6.9049225","6.516632"
"825","-0.41531372","7.3035583","6.2017975"
"856","-0.4117279","6.866623","6.207779"
"888","-0.5027008","7.0713196","6.7117615"
"894","-0.6547394","7.0796967","5.959976"
"922","-0.7492981","7.068924","5.7480927"
"953","-0.5709381","6.693039","5.6319733"
"1004","0.09585571","7.2844086","6.722534"
"1011","0.7518616","7.2724304","6.3837585"
"1022","0.7506714","7.2640533","6.412491"
"1037","0.54237366","7.1024475","6.38855"
"1042","0.38554382","7.0749054","6.6076202"
"1054","0.3831482","7.115616","6.610016"
"1070","0.5387726","7.21138","6.5729065"
"1075","0.6967926","7.1766663","6.650711"
"1090","0.7111664","7.1814575","6.7153473"
"1095","0.6572876","7.266449","6.94281"
"1109","0.6572876","7.266449","7.021805"
"1113","0.5471649","7.2724304","7.0397644"
"1126","0.5268097","7.29158","6.8973083"
"1139","0.5483551","7.3107452","6.8182983"
"1154","0.67285156","7.2413025","6.4902954"
"1170","0.79615784","7.2844086","6.3011627"
"1175","0.90867615","7.314331","6.216156"
"1188","0.931427","7.3502502","6.149124"
"1205","1.0882416","7.4316406","6.23172"
"1221","1.2881622","7.5010834","6.267639"
"1238","1.2498627","7.405319","6.2532806"
"1256","1.1085968","7.3873596","6.1611023"
"1259","1.0200195","7.349045","6.1982117"
"1272","1.0080414","7.4065094","6.1670837"
"1286","1.0236053","7.3586273","6.214966"
"1291","1.0750732","7.441223","6.117996"
"1302","1.0523376","7.451996","6.1108246"
"1311","1.0092316","7.4496","6.0437775"
"1324","1.0176239","7.487915","5.9767456"
"1337","0.9828949","7.44841","6.0713196"
"1341","0.9601593","7.4076996","6.112015"
"1355","0.9326172","7.353836","6.108429"
"1371","1.0223999","7.2951813","6.1263733"
"1390","1.0619049","7.305954","6.2185516"
"1412","1.0391693","7.3011627","6.23053"
"1423","0.9278412","7.147934","6.236511"
"1445","0.8715668","7.1982117","6.192215"
"1455","0.9015045","7.2137756","6.331085"
"1477","0.9170685","7.186249","6.374176"
"1484","0.986496","7.2329254","6.504669"
"1514","0.94340515","7.2772217","6.491501"
"1526","0.90509033","7.1623077","6.611206"
"1547","0.89790344","7.1670837","6.5824738"
"1556","0.8811493","7.100052","6.698593"
"1572","0.8811493","7.0952606","6.7189484"
"1588","0.8440399","7.1060333","6.7907715"
"1609","0.9398041","7.096466","6.772812"
"1621","0.986496","7.1814575","6.649521"
"1638","1.0906372","7.203003","6.5345917"
"1656","1.0834656","7.1658936","6.508255"
"1660","1.1804199","7.204193","6.4232635"
"1675","1.2582397","7.231735","6.417282"
"1682","1.3360443","7.27124","6.3251038"
"1692","1.3420258","7.3909454","6.2137756"
"1703","1.291748","7.3873596","6.29039"
"1728","1.1756287","7.353836","6.2999573"
"1731","1.1074066","7.242508","6.3514404"
"1742","1.0559235","7.2245483","5.47995"
"1762","1.2534485","7.372986","5.141159"
"1773","1.0786743","7.0665283","7.167862"
"1789","1.0403595","7.1215973","7.2528534"
"1805","1.0379639","7.115616","6.9260406"
"1824","0.97691345","7.0976562","6.6806335"
"1827","0.96255493","7.049774","6.64592"
