"Time","X","Y","Z"
"21","-2.9954376","5.9706573","5.158188"
"33","-2.538147","5.3505554","5.9937744"
"46","-2.392105","5.34816","6.4127502"
"50","-1.8534088","5.075226","6.5995026"
"71","-1.7384796","4.917206","6.6234436"
"92","-2.0976105","4.222885","7.3297424"
"123","-1.7576294","4.3138733","9.077499"
"154","-0.8909302","4.0505066","9.932236"
"183","-0.93881226","2.7528534","7.885193"
"206","-0.9029083","2.941986","9.666473"
"230","-1.0968323","2.949173","11.23468"
"252","-2.0784607","1.7089844","11.620148"
"274","-1.3099213","1.2756348","10.660065"
"281","-0.1846466","1.4647675","11.51001"
"299","-0.12239075","1.4623718","11.677612"
"328","0.7682495","1.2109833","12.230667"
"330","1.1249847","0.96199036","12.438965"
"356","1.026825","0.7608795","13.195526"
"365","1.1082306","0.15274048","13.947311"
"392","1.3739777","0.09289551","13.952103"
"422","1.6062164","-0.129776","11.735062"
"453","-0.23013306","0.8925476","8.627396"
"467","-2.2675934","1.1008453","8.890762"
"488","-2.1024017","1.1966248","8.715973"
"500","-1.0537415","2.5373688","7.111862"
"521","-1.0106506","2.9755096","6.688095"
"528","-1.4727325","2.9994507","7.2315674"
"547","-1.8605804","2.5828552","8.115036"
"571","-2.265213","2.3195038","10.976105"
"579","-1.46315","2.9611511","11.620148"
"605","-1.4559631","2.9036865","10.557114"
"609","-2.028183","2.803131","7.5523987"
"637","-1.7552338","2.755249","7.4973297"
"640","-1.712143","2.8007355","7.8444824"
"654","-2.2388763","2.676239","10.011246"
"675","-2.483078","2.4799042","10.157288"
"681","-2.3298492","2.676239","8.936249"
"703","-2.0497284","2.93721","8.553177"
"717","-0.37139893","3.70813","8.984131"
"739","-0.32589722","3.7919312","9.297775"
"742","-0.9220581","3.6578522","10.121368"
"769","-2.155075","3.3059082","10.657669"
"773","-3.0026245","2.7265167","10.523605"
"798","-3.2156982","2.62117","9.544373"
"817","-2.5046234","3.6794128","6.4965515"
"837","-1.5924377","4.2324677","7.4015656"
"844","-1.439209","3.5956116","10.111801"
"868","-1.6451111","3.4806824","10.011246"
"889","-2.246048","3.4974518","8.890762"
"899","-1.918045","3.5716705","7.861252"
"916","-1.8845215","3.5764618","7.7702637"
"936","-1.3817444","3.8613586","8.481354"
"952","-1.3937225","3.593216","9.838852"
"977","-1.3865356","3.5429382","9.96814"
"1000","-1.5661011","3.720108","9.146942"
"1019","-1.6522827","3.7895355","8.74231"
"1040","-1.4008942","3.86615","8.94104"
"1049","-1.1327515","3.9786835","9.644928"
"1073","-1.0896454","3.969101","9.807739"
"1084","-1.4679413","3.586029","9.721542"
"1107","-1.5110321","3.5572968","9.599442"
"1112","-1.4511719","3.7608032","9.000885"
"1134","-1.439209","3.8134766","9.079895"
"1151","-1.3769531","3.76799","9.053558"
"1168","-1.3530121","3.7392578","9.017654"
"1186","-1.1997833","3.9284058","8.895538"
"1194","-1.1447144","4.060089","9.043991"
"1218","-1.115982","3.9308014","9.2043915"
"1241","-1.2069702","3.8015137","9.252274"
"1244","-1.2524567","3.8829193","9.142151"
"1273","-0.9436035","3.9499512","8.97934"
"1310","-0.76164246","3.8158722","8.687241"
"1318","-1.1495056","3.7895355","9.11821"
"1346","-1.1638794","3.7560272","9.213974"
"1382","-0.50546265","4.1917725","9.424667"
"1406","-0.4958954","4.2588043","8.905121"
"1410","-0.558136","4.1606445","9.096649"
"1433","-0.6802368","4.143875","9.245102"
"1456","-0.2899933","4.0193787","9.728729"
"1479","0.1912384","4.048111","9.360016"
"1482","-0.026626587","4.0672607","9.094269"
"1500","-0.558136","3.8829193","8.713577"
"1502","-0.6179962","3.8254547","8.670486"
"1512","-0.76882935","3.7368622","8.383179"
"1535","-0.8813629","3.5596924","8.392761"
"1555","-0.9364166","3.179016","8.524445"
"1566","-1.6115875","3.1239471","10.624161"
"1588","-1.6666565","2.9443817","10.444595"
"1609","-0.9699402","3.3322449","9.970535"
"1621","-0.424057","3.45195","9.786194"
"1638","-0.50068665","3.4208374","9.812515"
"1651","-0.77601624","3.2484436","10.140533"
"1671","-0.98908997","2.9587555","10.262634"
"1679","-1.202179","2.8318634","10.16687"
"1703","-0.7664337","2.925232","9.913086"
"1708","1.2207489","3.083252","9.530014"
"1727","1.6804352","3.2508392","9.649719"
"1753","2.0778809","3.4687195","10.4613495"
"1759","-0.1559143","3.2915497","10.276993"
"1787","-0.8167114","3.2029572","9.802948"
"1807","-1.9803009","3.3059082","8.9865265"
"1811","-3.0840302","3.60997","8.392761"
"1840","-3.412033","3.672226","8.273056"
"1872","-3.3401947","3.5764618","8.129395"
"1887","-1.3745575","3.7057495","8.74231"
"1921","-1.1902161","3.8733368","8.814148"
"1924","-1.1854248","3.9882507","8.94104"
"1937","-1.3218842","4.206131","8.524445"
"1970","-1.3338623","4.064865","8.878784"
"1979","-1.3793488","3.9882507","10.12616"
"2014","-1.3458252","4.0026245","10.399109"
"2017","-1.4296265","4.00502","10.492477"
"2054","-1.6642609","4.131912","9.96814"
"2058","-2.1885986","4.107971","9.27861"
"2072","-2.3753357","4.167816","9.146942"
"2099","-2.4160461","4.0744476","9.020035"
"2114","-2.3897095","3.8996735","8.811752"
"2124","-2.325058","3.9762878","8.711197"
"2158","-2.3059082","3.9499512","8.670486"
"2161","-2.2436523","3.9643097","8.603455"
"2175","-2.2604218","4.297104","8.019272"
"2211","-2.2436523","4.4263916","7.925888"
"2226","-2.1454926","4.6322937","7.8875885"
"2256","-2.0664825","4.668213","8.162918"
"2268","-1.9108582","4.625122","8.830902"
"2298","-1.9707184","4.558075","8.969757"
"2325","-2.1383057","4.4742737","9.699997"
"2340","-1.973114","4.613144","9.434235"
"2364","-1.9994507","4.522171","9.18045"
"2368","-2.222107","4.514984","8.814148"
"2378","-2.3202667","4.522171","8.82132"
"2414","-2.3346405","4.4718933","8.840469"
"2419","-2.2484436","4.5197754","9.043991"
"2448","-2.0473328","4.6945496","8.86203"
"2477","-2.0257874","4.8358","8.27066"
"2481","-2.100006","4.945938","8.220383"
"2508","-2.0952148","4.9028473","8.519653"
"2512","-2.2173157","4.75679","8.981735"
"2523","-2.3226624","4.795105","9.048767"
"2533","-2.3681488","4.8477783","8.677673"
"2561","-2.4016724","4.989029","8.265869"
"2564","-2.2484436","5.202118","7.0783386"
"2575","-2.265213","5.5803986","5.7304077"
"2586","-1.5397644","5.573227","8.241928"
"2618","-2.0784607","5.1063538","8.474167"
"2627","-2.906845","4.850174","8.064758"
"2657","-2.665039","4.953125","7.7846375"
"2668","-1.9467773","5.194931","6.9945526"
"2702","-1.5469513","5.2212677","7.696045"
"2715","-1.3386536","4.6035614","8.538803"
