"Time","X","Y","Z"
"19","-2.8302307","4.467102","6.5995026"
"36","-2.1526794","4.7113037","7.870819"
"48","-1.8581848","4.6777954","8.816528"
"50","-1.6953888","4.605957","9.168488"
"84","-1.6403198","4.649063","9.798157"
"107","-1.6475067","4.644272","9.206787"
"131","-2.3370361","4.376114","8.0503845"
"152","-2.9260101","3.9355927","7.6888733"
"183","-2.317871","3.9212189","8.78302"
"208","-0.6850281","3.902069","10.880341"
"216","-0.29478455","3.7009583","9.834076"
"237","-0.36421204","3.5668793","9.644928"
"257","-0.7448883","3.459137","9.802948"
"277","-0.7999573","3.7177124","9.484512"
"298","-0.5868683","4.143875","9.537186"
"321","-0.84783936","4.0768433","9.91069"
"329","-0.23252869","3.9355927","9.472549"
"343","0.20561218","4.052902","9.901108"
"366","0.28941345","3.9667053","9.956177"
"391","-0.1966095","3.4782867","10.74147"
"402","-0.48631287","3.5118103","11.574661"
"433","-0.6802368","3.1694336","10.863571"
"455","-1.3649902","2.0848694","8.095886"
"474","-0.929245","2.1495056","8.759079"
"496","0.47135925","1.9459991","9.757462"
"500","1.0292206","1.6994019","11.4262085"
"530","0.7730408","1.6012421","11.493256"
"560","0.28701782","1.2205658","9.67366"
"562","0.2989807","1.3546295","9.369598"
"573","0.7395172","1.4288635","10.303329"
"596","0.7179718","1.4839172","10.288971"
"608","-0.20379639","1.8430481","10.255447"
"630","-0.19421387","1.8047485","10.233902"
"636","0.10984802","1.7640381","9.781403"
"665","0.5695343","2.1758423","9.695206"
"678","1.1369476","3.4064636","9.755066"
"706","1.0004883","3.3370361","10.209961"
"720","0.5886841","2.274002","10.300934"
"757","-0.1559143","2.2596436","10.016037"
"797","-0.7808075","3.0712738","8.890762"
"813","1.2351227","4.349777","8.80217"
"837","0.60543823","3.890091","9.134964"
"839","-0.11999512","3.2915497","9.491699"
"863","-0.6108093","3.028183","9.393539"
"872","-1.250061","3.2149353","8.11264"
"894","-1.1255646","3.4064636","8.021652"
"910","-0.4384308","4.016983","8.534012"
"931","0.17927551","4.467102","8.632187"
"957","-0.17027283","4.16304","8.823715"
"986","-1.3242798","3.4567413","9.072708"
"1009","-1.5206146","2.9922638","9.843643"
"1013","-1.1088104","3.2843628","9.4414215"
"1023","-0.64193726","3.7631989","8.902725"
"1050","-0.19900513","4.273163","8.409515"
"1053","-0.20140076","4.383301","8.344879"
"1082","-0.7664337","3.8493958","9.431839"
"1084","-1.1758423","3.5285645","9.802948"
"1106","-1.3673859","3.1766205","9.881958"
"1122","-0.9005127","3.5118103","10.731903"
"1139","-1.5613098","3.7560272","9.786194"
"1162","-1.5134277","3.5189972","8.416702"
"1168","-0.6084137","4.08403","8.083908"
"1200","-0.6084137","4.0265656","8.174896"
"1231","-0.7855835","3.811081","8.806961"
"1242","-0.82629395","3.7655945","9.551559"
"1263","-0.7377014","3.8685455","9.7335205"
"1271","-0.8238983","3.8493958","9.582672"
"1292","-1.0034637","3.7464447","9.558731"
"1298","-1.2668304","3.380127","9.625778"
"1328","-1.202179","3.3035126","9.6138"
"1364","-0.44322205","3.6698303","9.264252"
"1386","-0.07929993","4.055298","8.337692"
"1402","-0.30195618","4.254013","8.720764"
"1427","-0.61320496","4.16304","9.431839"
"1436","-0.41209412","4.2037354","9.807739"
"1469","-0.32829285","4.222885","9.86998"
"1472","-0.25886536","4.165436","9.860413"
"1520","-0.26605225","4.1726074","9.082291"
"1523","-0.33787537","4.222885","9.072708"
"1537","-0.7592468","3.94516","9.88913"
"1568","-0.86938477","3.8206635","9.913086"
"1601","-0.6156006","3.9523468","9.19722"
"1605","-0.51504517","4.000229","8.826111"
"1615","-0.47434998","4.1367035","8.356842"
"1645","-0.4312439","4.1797943","8.440643"
"1656","-0.27801514","4.131912","9.015259"
"1670","-0.31393433","4.119934","9.020035"
"1679","-0.1918335","4.206131","8.969757"
"1697","-0.16070557","4.2324677","8.94342"
"1724","-0.26605225","4.254013","8.799774"
"1746","-0.45758057","4.1773987","8.998489"
"1774","-0.49110413","3.8876953","9.364807"
"1777","-0.060150146","3.3945007","10.00885"
"1811","-0.3809662","3.2628174","10.906677"
"1820","-0.6850281","3.6291351","10.145309"
"1850","-0.716156","3.9188232","9.719147"
"1878","-0.80714417","5.2954865","8.751892"
"1880","-1.1064148","5.2404327","8.689636"
"1908","-2.028183","5.056076","8.038422"
"1911","-1.7959442","5.233246","7.9043427"
"1922","-1.2045746","5.6498413","7.89476"
"1949","-1.1327515","5.7096863","7.9115295"
"1952","-0.6802368","5.6713867","8.160522"
"1988","-0.07450867","5.601944","8.330505"
"2019","-0.6467285","5.1997223","8.189255"
"2024","-0.6850281","5.182968","8.603455"
"2065","-0.25886536","5.3984375","8.739914"
"2081","-0.64193726","5.4032288","7.763092"
"2111","-0.77601624","5.2212677","8.237137"
"2116","-1.0154266","5.0656433","9.077499"
"2152","-1.3075256","5.2954865","8.96019"
"2178","-2.186203","5.3936615","8.328125"
"2190","-2.1167603","4.9626923","9.1445465"
"2209","-2.1526794","4.9818573","9.1445465"
"2221","-2.5046234","5.1015625","8.981735"
"2244","-2.7344666","5.2954865","8.850052"
"2251","-2.3442078","5.273941","8.787811"
"2277","-2.0497284","5.321823","8.596268"
"2279","-1.7815704","5.3888702","8.42868"
"2312","-1.7672119","5.4582977","7.7295685"
"2325","-1.9132538","5.5875854","7.2387543"
"2353","-1.894104","5.5636444","7.214813"
"2385","-1.3554077","5.819824","7.6984406"
"2409","-1.38414","5.561249","8.455017"
