"Time","X","Y","Z"
"0","-3.6056824","5.790863","6.9266663"
"14","-3.2393646","5.5586243","6.253891"
"32","-4.177887","5.4245453","5.913925"
"72","-4.359848","5.4485016","5.767868"
"105","-4.450836","5.446106","6.715973"
"139","-4.426895","5.7621307","7.783798"
"170","-3.157959","5.568207","7.2403107"
"212","-3.5362396","5.3862457","7.415085"
"243","-3.3447113","5.154007","7.1613007"
"297","-2.2816772","5.0366974","6.897934"
"328","-1.2856903","4.5913696","8.755844"
"334","-1.3982239","4.679962","8.16687"
"360","-1.5203247","4.7445984","7.996872"
"364","-1.0989532","4.6536255","8.468536"
"390","-0.8331909","4.557846","8.794144"
"395","-0.0574646","4.25618","9.385513"
"429","0.0622406","4.0885925","9.081451"
"462","0.37348938","4.5027924","8.437408"
"468","0.23701477","4.763748","7.8005524"
"494","0.03590393","4.818817","7.8604126"
"500","-1.0414886","4.8786774","8.667252"
"528","-1.039093","4.8236084","8.949768"
"560","-1.2880859","4.6105194","8.178833"
"595","-1.1683807","4.881073","7.079895"
"600","-1.070221","4.9385223","8.028"
"628","-1.1085205","4.900223","8.36319"
"658","-1.5299072","4.873886","8.851608"
"661","-1.2832947","4.940918","8.595428"
"689","-0.9696655","4.979233","8.2434845"
"704","-0.6823578","5.06781","7.8795624"
"735","-0.72784424","5.043869","7.925049"
"763","-0.94810486","4.715866","9.13652"
"797","0.5793915","4.790085","9.902664"
"804","-1.4030151","5.1324615","7.7335205"
"832","-1.5753937","5.130066","7.371994"
"857","0.59375","4.308853","6.4717712"
"864","0.9576721","4.8475494","8.846817"
"893","-0.08380127","4.9337463","9.416641"
"928","-3.2728882","5.4915924","7.541977"
"936","-6.0740967","6.0685883","4.1805115"
"962","-6.1531067","6.1116943","4.012924"
"965","-3.9073486","5.802841","5.202835"
"995","-3.229782","5.647217","5.5595856"
"1026","-3.529068","5.051056","6.866806"
"1060","-0.8188324","5.5227203","12.023926"
"1068","1.7812805","5.154007","10.929779"
"1104","1.929718","5.1085205","10.156448"
"1111","-0.9744415","3.861145","7.0751038"
"1120","-1.3192139","3.9736633","6.9553986"
"1163","-1.4054108","4.038315","6.933853"
"1201","-1.0295105","4.8403625","9.861954"
