"Time","X","Y","Z"
"4","0.88984436","3.4540055","9.135011"
"17","0.894724","3.4922526","9.11998"
"32","0.901475","3.5274482","9.105759"
"33","0.9109356","3.5560565","9.093681"
"47","0.92252445","3.5757852","9.084772"
"51","0.93467826","3.5853906","9.079743"
"65","0.94606626","3.5848703","9.078769"
"81","0.95464814","3.5761347","9.081315"
"82","0.9587508","3.5623915","9.086284"
"97","0.9577918","3.547676","9.09214"
"102","0.9525929","3.5355535","9.097407"
"122","0.9455831","3.5286863","9.100803"
"122","0.939919","3.5289824","9.101276"
"134","0.937912","3.5365362","9.09855"
"147","0.9402143","3.5499241","9.093098"
"149","0.9459752","3.5672524","9.085716"
"165","0.95380896","3.585721","9.077622"
"168","0.963333","3.6026452","9.069913"
"182","0.974718","3.6165707","9.063152"
"198","0.98553514","3.6267264","9.057922"
"198","0.993333","3.6337533","9.054254"
"215","0.998256","3.638471","9.051818"
"218","1.0007994","3.6423888","9.049961"
"228","1.0020832","3.647114","9.047915"
"245","1.0035456","3.654051","9.044954"
"247","1.004918","3.6642869","9.04066"
"262","1.0060021","3.6787565","9.034661"
"267","1.0068624","3.6969872","9.027121"
"277","1.0080065","3.7185407","9.018136"
"287","1.0097288","3.743513","9.007605"
"298","1.0117009","3.7711282","8.995857"
"310","1.0139554","3.8013656","8.982867"
"317","1.017279","3.8333137","8.968904"
"330","1.0225713","3.86615","8.954196"
"337","1.0298283","3.8993144","8.93897"
"348","1.0375406","3.9319265","8.92378"
"365","1.0438893","3.963543","8.909041"
"368","1.0482205","3.993307","8.89523"
"383","1.0515685","4.0207253","8.882475"
"385","1.0543239","4.046191","8.870576"
"400","1.0552394","4.0704556","8.859359"
"416","1.0530387","4.0940123","8.84876"
"419","1.047784","4.117055","8.838687"
"441","1.040932","4.138367","8.829539"
"442","1.0341753","4.156655","8.82174"
"444","1.024014","4.174026","8.814721"
"473","1.0117376","4.191796","8.807702"
"475","1.0022146","4.208209","8.800962"
"476","0.9969612","4.221098","8.795384"
"486","0.9978928","4.227588","8.792161"
"509","1.004738","4.2249374","8.792655"
"512","1.0124428","4.2110367","8.798438"
"513","1.0145766","4.1849585","8.810627"
"541","1.0092317","4.1480327","8.828685"
"543","0.9998873","4.103558","8.850503"
"544","0.9871736","4.055807","8.873912"
"556","0.9676334","4.010182","8.8967705"
"578","0.94369924","3.9705489","8.917093"
"579","0.9245657","3.9367056","8.934087"
"584","0.9169227","3.9086442","8.947186"
"603","0.91803825","3.886161","8.956861"
"605","0.92297256","3.8684232","8.964028"
"613","0.9278255","3.8537478","8.969847"
"629","0.93102646","3.8392792","8.975718"
"631","0.9331931","3.8226194","8.982601"
"642","0.93514085","3.802356","8.990995"
"652","0.93576276","3.7783194","9.001059"
"664","0.93263954","3.7514806","9.0126"
"678","0.9254807","3.7243466","9.024584"
"680","0.9161095","3.6989639","9.035973"
"698","0.9065342","3.6769896","9.045901"
"700","0.89849055","3.6593318","9.053861"
"712","0.8929434","3.646377","9.059635"
"729","0.8901504","3.6374662","9.063491"
"729","0.8887493","3.6312292","9.066128"
"748","0.8890807","3.626204","9.068108"
"750","0.8913375","3.6207147","9.070078"
"770","0.8947373","3.613415","9.072655"
"773","0.8986859","3.6037447","9.07611"
"794","0.9018764","3.5917754","9.080538"
"795","0.9022683","3.5780501","9.085915"
"798","0.89990026","3.5629144","9.092095"
"822","0.89692634","3.5473363","9.098478"
"824","0.8940339","3.532181","9.104657"
