"Time","X","Y","Z"
"2","0.20552063","0.16474915","0.050720215"
"18","0.24813843","0.19139099","0.093322754"
"26","0.24386597","0.27980042","0.15405273"
"60","0.23428345","0.32453918","0.17749023"
"64","0.20552063","0.35757446","0.22116089"
"103","0.29606628","0.31388855","0.27122498"
"106","0.3471985","0.29045105","0.2967987"
"122","0.34933472","0.15090942","0.3948059"
"148","0.17462158","0.24891663","0.35858154"
"178","-0.19714355","0.7304077","0.2722931"
"207","-0.19288635","0.79219055","0.3191681"
"234","-0.1534729","0.3767395","0.22116089"
"258","-0.09487915","0.5301361","0.019821167"
"260","-0.05014038","0.6292114","0.036865234"
"281","0.007385254","0.7857971","0.07627869"
"319","-0.056533813","0.75917053","0.16470337"
"322","-0.11512756","0.7442627","0.18281555"
"339","-0.2472229","0.75598145","0.16577148"
"342","-0.24615479","0.7506561","0.16044617"
"382","-0.2046051","0.53759766","0.15298462"
"395","-0.34202576","0.20523071","-0.13783264"
"405","-0.36653137","0.12640381","-0.19110107"
"443","-0.37504578","-0.025924683","-0.1974945"
"445","-0.37078857","-0.090911865","-0.21240234"
"481","-0.24401855","-0.6736145","-0.37965393"
"492","-0.058670044","-0.603302","-0.3231964"
"506","0.004180908","-0.59051514","-0.31040955"
"543","0.081954956","-0.6214142","-0.2944336"
"564","0.20445251","-0.8035736","-0.28697205"
"569","0.15864563","-1.0091705","-0.32424927"
"593","0.12776184","-1.065628","-0.35514832"
"612","0.03614807","-1.1135559","-0.45848083"
"645","-0.14814758","-0.9271393","-0.5042877"
"656","-0.117248535","-0.5937195","-0.30508423"
"677","-0.09701538","-0.5841217","-0.2709961"
"686","0.0031280518","-0.617157","-0.11759949"
"710","0.035079956","-0.6555023","-0.10481262"
"714","0.114974976","-0.730072","-0.09416199"
"725","0.15757751","-0.69065857","-0.08988953"
"746","0.17356873","-0.6309967","-0.08988953"
"759","0.16078186","-0.2688141","-0.06326294"
"782","0.15652466","-0.19210815","-0.038757324"
"788","0.14692688","-0.04084778","0.057113647"
"807","0.14480591","-0.047225952","0.07095337"
"828","0.15864563","-0.1292572","0.1199646"
"839","0.17782593","-0.29437256","0.09439087"
"860","0.18101501","-0.33166504","0.08055115"
"879","0.15119934","-0.4232788","0.036865234"
"890","0.13415527","-0.25602722","0.11357117"
"910","0.13415527","-0.24005127","0.1242218"
"922","0.147995","-0.26454163","0.19239807"
"940","0.15119934","-0.27626038","0.1945343"
"966","0.17250061","-0.30395508","0.19560242"
"976","0.17250061","-0.32313538","0.18388367"
"998","0.16929626","-0.26667786","0.18493652"
"1006","0.18528748","-0.008880615","0.20198059"
"1016","0.18101501","0.03479004","0.21264648"
"1045","0.16929626","0.11361694","0.23287964"
"1056","0.035079956","0.30537415","0.21369934"
"1087","-0.086364746","0.31495667","0.18281555"
"1104","0.042541504","0.21055603","0.06137085"
"1140","0.18315125","0.108291626","-0.007873535"
"1149","0.026550293","-0.036575317","-0.07817078"
