"Time","X","Y","Z"
"4","0.24769592","0.03111267","-0.057235718"
"23","0.07511902","0.037506104","-0.046585083"
"59","-0.060165405","0.05455017","-0.04232788"
"90","-0.019683838","-0.065826416","-0.05937195"
"99","-0.030334473","0.035369873","-0.0796051"
"134","-0.048446655","0.049224854","-0.09025574"
"139","-0.1347351","0.074783325","-0.088134766"
"188","-0.13685608","0.06413269","-0.032730103"
"237","0.026123047","0.010864258","0.09190369"
"241","0.017608643","-0.0093688965","0.11213684"
"283","-0.007965088","0.009811401","0.03756714"
"292","0.05381775","0.05241394","-0.023147583"
"335","0.052749634","0.04283142","-0.01675415"
"345","-0.114486694","0.17918396","0.05781555"
"380","-0.17308044","0.23564148","0.08125305"
"384","-0.3573761","0.3986206","0.12599182"
"417","-0.4585724","0.4401703","0.097229004"
"453","-0.37548828","0.34536743","0.0929718"
"456","-0.3190155","0.28251648","0.09083557"
"485","-0.1656189","0.22392273","0.062072754"
"487","-0.16668701","0.22817993","0.058883667"
"509","-0.19012451","0.3432312","0.08018494"
"523","-0.28919983","0.32511902","0.108947754"
"548","-0.30197144","0.32299805","0.11001587"
"576","-0.24125671","0.21220398","0.05781555"
"579","-0.18586731","0.23457336","0.07272339"
"614","-0.15390015","0.2654724","0.06526184"
"626","-0.03353882","0.2175293","0.052490234"
"648","-0.027145386","0.19836426","0.04396057"
"650","-0.02607727","0.17704773","0.040771484"
"675","-0.06867981","0.18450928","2.89917E-4"
"682","-0.13899231","0.15788269","-0.0050354004"
"709","-0.13685608","0.13124084","2.89917E-4"
"739","-0.030334473","0.056671143","0.08230591"
"742","-0.01222229","0.037506104","0.10362244"
"764","-0.0015716553","0.030044556","0.10469055"
"790","-0.034591675","0.065200806","0.013076782"
"792","-0.051635742","0.07904053","0.003479004"
"813","-0.046310425","0.065200806","0.013076782"
"823","-0.040985107","0.05455017","0.048217773"
"844","-0.028198242","0.044952393","0.05355835"
"856","-0.0026397705","0.024719238","0.05142212"
"878","0.006942749","0.023651123","0.052490234"
"887","0.015472412","0.039627075","0.066329956"
"913","0.015472412","0.041763306","0.06526184"
"944","0.0090789795","0.03111267","0.048217773"
"956","0.02079773","0.018325806","-0.008239746"
"988","0.015472412","0.021530151","-0.015686035"
"998","0.0048217773","0.009811401","0.0013580322"
"1026","-0.011154175","0.01939392","0.021591187"
"1028","-0.010101318","0.016204834","0.023727417"
"1058","0.013336182","0.004486084","0.03756714"
"1070","0.0026855469","0.046020508","-0.0018463135"
"1091","-0.0015716553","0.067337036","-0.007171631"
"1102","-0.009033203","0.11526489","0.048217773"
"1128","0.013336182","0.09075928","0.06846619"
"1130","0.019729614","0.06945801","0.08018494"
"1159","0.021865845","-0.018951416","0.10681152"
