"Time","X","Y","Z"
"4","0.10827637","-0.0013427734","0.015731812"
"12","0.0635376","-0.022644043","0.015731812"
"23","0.007080078","-0.017318726","0.008270264"
"47","-0.048309326","-0.007736206","-0.0013122559"
"77","-0.08666992","0.003982544","-0.010894775"
"89","-0.013153076","0.025299072","-0.020492554"
"101","0.051818848","0.03807068","-0.014099121"
"116","0.062469482","0.03488159","-0.009841919"
"135","0.041168213","-0.0013427734","8.239746E-4"
"152","-0.013153076","-0.01625061","0.010406494"
"167","-0.039794922","-0.01411438","0.011474609"
"185","-0.051513672","-0.0087890625","0.009338379"
"190","-0.03553772","7.9345703E-4","0.008270264"
"202","-0.007827759","0.011444092","0.0072021484"
"217","0.021987915","0.023162842","0.008270264"
"236","0.059280396","0.008255005","0.008270264"
"252","0.042236328","0.01676941","0.009338379"
"268","0.002822876","0.022094727","0.0040130615"
"283","-0.0110321045","0.01890564","-2.4414062E-4"
"300","-0.015289307","0.0029296875","-0.009841919"
"319","0.007080078","-0.01411438","-0.009841919"
"343","0.018798828","-0.0013427734","-0.008773804"
"356","0.031585693","0.03488159","-0.013031006"
"384","0.035842896","0.057250977","-0.011962891"
"411","0.06034851","0.04446411","-0.0045166016"
"446","0.0677948","0.012512207","-2.4414062E-4"
"459","0.028381348","0.010375977","0.0072021484"
"485","0.020935059","0.029556274","0.010406494"
"508","0.051818848","0.043411255","0.010406494"
"525","0.113601685","0.02848816","0.008270264"
"556","0.113601685","0.012512207","0.015731812"
"589","-0.009963989","-0.022644043","0.033843994"
"604","-0.052581787","0.0029296875","0.022125244"
"633","-0.03340149","0.010375977","0.0072021484"
"636","0.007080078","0.03274536","-0.02368164"
"668","0.007080078","0.048736572","-0.029006958"
"697","-0.13459778","0.07536316","-0.03326416"
"701","-0.083465576","0.0146484375","-0.021560669"
"728","0.014541626","-0.08761597","8.239746E-4"
"734","0.042236328","-0.10040283","-0.015167236"
"759","-0.052581787","0.03062439","-0.06309509"
"763","-0.09837341","0.09559631","-0.03753662"
"793","-0.15803528","0.14779663","0.03916931"
"828","-0.013153076","-0.01625061","-0.0045166016"
"840","-0.025939941","-0.1643219","-0.018356323"
"870","-0.079208374","-0.14727783","-0.014099121"
"895","-0.19638062","0.03488159","-0.034332275"
"908","-0.08985901","0.01890564","-0.062026978"
"919","-0.03553772","0.0018615723","-0.05883789"
"933","0.007080078","-0.01838684","-0.04711914"
"935","0.02519226","-0.03968811","-0.032211304"
"949","0.024124146","-0.056732178","-0.019424438"
"967","-0.015289307","-0.04927063","-2.4414062E-4"
"985","-0.029144287","-0.03010559","0.006149292"
"1005","-0.027008057","-0.020507812","0.025314331"
"1007","-0.0014343262","-0.0087890625","0.035964966"
"1028","0.028381348","-0.0023956299","0.03916931"
"1061","0.06567383","-0.01838684","0.010406494"
"1096","0.006011963","0.027420044","0.015731812"
"1105","-0.038726807","-0.009857178","0.0040130615"
"1133","-0.027008057","-0.01838684","-0.002380371"
"1170","0.041168213","-0.02583313","0.013595581"
"1175","0.049697876","-0.023712158","0.019989014"
"1183","0.0124053955","-0.0013427734","0.013595581"
"1216","-0.0025024414","0.005050659","0.011474609"
"1252","-0.01210022","-0.0087890625","-0.0066375732"
"1258","0.0017547607","-2.746582E-4","-0.005569458"
"1267","0.0124053955","-0.01838684","8.239746E-4"
"1298","0.010269165","-0.02583313","0.0040130615"
"1309","-3.8146973E-4","-0.013061523","0.018920898"
"1348","0.0038909912","-0.023712158","0.011474609"
"1392","0.019866943","-0.0045318604","0.0040130615"
"1403","-0.007827759","-0.020507812","0.0040130615"
"1437","-0.01210022","-0.021575928","0.0040130615"
"1445","-0.009963989","-0.019439697","0.0072021484"
"1456","6.866455E-4","7.9345703E-4","0.006149292"
"1495","0.017730713","0.0018615723","0.0029449463"
"1505","0.014541626","-0.019439697","0.0040130615"
"1544","0.010269165","-0.01625061","0.019989014"
"1561","0.01133728","-0.0055999756","0.017868042"
"1596","0.019866943","-0.010925293","0.013595581"
"1608","0.037979126","-0.015182495","0.0072021484"
"1646","0.026260376","-0.015182495","0.0029449463"
"1663","-0.029144287","0.0146484375","-0.0034484863"
"1705","-0.014221191","0.0071868896","-0.0077056885"
"1713","0.018798828","-0.0034637451","-0.013031006"
"1719","0.035842896","0.0071868896","-0.002380371"
"1778","0.019866943","-0.017318726","0.0072021484"
"1786","0.007080078","-0.019439697","0.0072021484"
"1797","-0.01210022","-0.010925293","0.010406494"
"1806","0.02519226","-0.0023956299","0.0050811768"
"1838","0.02305603","-0.010925293","-0.0045166016"
"1851","-0.01210022","-0.006668091","0.0029449463"
"1864","-0.015289307","-2.746582E-4","0.0040130615"
"1872","-0.01210022","0.0061187744","0.0040130615"
"1882","-0.0035705566","0.0018615723","0.001876831"
"1892","0.0038909912","-0.0055999756","-0.0013122559"
"1904","-0.02168274","0.0071868896","-0.0045166016"
"1919","-0.08239746","0.011444092","-0.011962891"
"1936","-0.079208374","-0.038619995","-0.0045166016"
"1953","0.041168213","0.010375977","-0.02368164"
"1970","0.09550476","0.055114746","-0.031143188"
