"Time","X","Y","Z"
"14","0.061080933","-0.030578613","-0.028656006"
"34","0.11860657","-0.039093018","-0.021194458"
"61","0.044036865","-0.030578613","0.010757446"
"79","-0.045440674","-0.006072998","0.027801514"
"96","-0.059295654","0.021621704","0.016082764"
"117","-0.030532837","0.019485474","-0.016937256"
"138","0.015274048","0.0013885498","-0.025466919"
"159","0.050430298","-0.018859863","-0.014801025"
"176","0.041900635","-0.02204895","-0.005218506"
"191","0.0078125","-0.0028839111","0.010757446"
"206","-0.017745972","0.02268982","0.006500244"
"221","-0.024139404","0.028015137","-0.0041503906"
"237","-0.012420654","0.020553589","-0.009475708"
"252","0.020599365","0.012039185","-0.005218506"
"267","0.047225952","0.006713867","0.005432129"
"275","0.041900635","0.0013885498","0.012893677"
"289","0.032318115","0.0035095215","0.015014648"
"303","0.008880615","0.0013885498","0.0118255615"
"320","-0.014556885","0.0013885498","-0.006286621"
"334","-0.024139404","0.0013885498","-0.020141602"
"351","-0.012420654","0.006713867","-0.012680054"
"369","0.020599365","0.0152282715","0.008621216"
"384","0.038711548","0.005645752","0.029937744"
"400","0.026992798","-0.032699585","0.04484558"
"407","0.008880615","-0.025253296","0.043777466"
"420","0.0067596436","-0.02418518","0.04270935"
"435","-0.0060272217","3.2043457E-4","0.03845215"
"453","-7.019043E-4","0.025878906","0.028869629"
"468","0.0024871826","0.010971069","0.012893677"
"484","-0.00390625","-0.020980835","0.0032958984"
"488","-0.007095337","-0.046554565","1.0681152E-4"
"502","-0.007095337","-0.051879883","0.002243042"
"517","0.0014343262","-0.06678772","0.002243042"
"532","0.0078125","-0.044418335","-0.002029419"
"540","0.016342163","-0.012466431","-0.021194458"
"553","0.01953125","-0.0028839111","-0.024398804"
"570","0.029129028","0.02268982","-0.026519775"
"583","0.04510498","0.023757935","-0.019073486"
"599","0.039779663","0.02482605","-0.01586914"
"617","0.018478394","0.0024414062","-0.006286621"
"623","0.011016846","-0.016723633","0.0011749268"
"637","0.011016846","-0.015655518","0.0032958984"
"651","0.02166748","0.009902954","0.006500244"
"667","0.034454346","0.047195435","0.010757446"
"674","0.049362183","0.035476685","0.013961792"
"687","0.05256653","0.031204224","0.015014648"
"702","0.065338135","-0.0018157959","0.020339966"
"718","0.061080933","-0.04336548","0.024612427"
"734","0.03338623","-0.03590393","0.049102783"
"750","0.015274048","0.006713867","0.05656433"
"756","0.025924683","0.035476685","0.051239014"
"769","0.029129028","0.04399109","0.045913696"
"784","0.04510498","0.042922974","0.03312683"
"801","0.057891846","0.03440857","0.029937744"
"805","0.06854248","0.031204224","0.027801514"
"817","0.06854248","0.029083252","0.023544312"
"834","0.079193115","0.031204224","0.0118255615"
"851","0.065338135","0.020553589","0.0043640137"
"868","0.038711548","0.030151367","-0.006286621"
"885","0.0067596436","0.05038452","-0.013748169"
"903","0.020599365","0.037597656","-0.021194458"
"918","0.030181885","0.03652954","-0.024398804"
"950","0.051498413","0.056777954","-0.0030975342"
"970","0.07493591","-7.4768066E-4","0.023544312"
"981","0.011016846","0.0077819824","0.04484558"
"999","-0.019882202","0.03866577","0.04270935"
"1022","-0.0134887695","0.08766174","0.03100586"
"1040","0.016342163","0.10897827","0.0043640137"
"1055","0.023803711","0.07168579","0.0032958984"
"1074","0.017410278","0.06742859","-0.002029419"
"1085","-0.014556885","0.08872986","-0.030792236"
"1099","-0.017745972","0.09512329","-0.031845093"
"1120","-0.017745972","0.12602234","-0.054229736"
"1138","0.0099487305","0.119628906","-0.059555054"
"1155","0.039779663","0.10044861","-0.06274414"
"1172","0.04296875","0.08340454","-0.04144287"
"1188","0.020599365","0.07489014","-0.016937256"
"1201","-0.0028381348","0.07168579","-0.006286621"
"1215","-0.016677856","0.06636047","0.002243042"
"1219","-0.015625","0.072753906","-0.014801025"
"1235","-0.014556885","0.07701111","-0.020141602"
"1252","-7.019043E-4","0.09512329","-0.07446289"
"1269","0.038711548","0.094055176","-0.11387634"
"1284","0.078125","0.05784607","-0.13624573"
"1301","0.0973053","0.06529236","-0.13305664"
"1318","0.09837341","0.12176514","-0.10961914"
"1336","0.09942627","0.1739502","-0.07872009"
"1349","0.15376282","0.21336365","-0.05848694"
"1354","0.16760254","0.19845581","-0.059555054"
"1368","0.16973877","0.19206238","-0.06806946"
"1383","0.19424438","0.18354797","-0.087249756"
"1401","0.22940063","0.16223145","-0.13412476"
"1405","0.24963379","0.169693","-0.15010071"
"1418","0.25282288","0.1739502","-0.14582825"
"1433","0.2826538","0.20910645","-0.110687256"
"1452","0.32206726","0.34545898","-0.06488037"
"1468","0.38172913","0.4179077","-0.0712738"
"1483","0.43605042","0.41363525","-0.09150696"
"1499","0.47546387","0.36782837","-0.10748291"
"1518","0.49038696","0.31137085","-0.09790039"
"1536","0.4509735","0.3199005","-0.063812256"
"1553","0.39770508","0.39552307","-0.057418823"
"1568","0.36042786","0.49246216","-0.04676819"
"1586","0.35829163","0.47755432","0.0118255615"
"1604","0.37213135","0.39979553","0.036331177"
"1614","0.3433838","0.35610962","0.0501709"
"1621","0.3327179","0.35292053","0.037384033"
"1631","0.32739258","0.3475952","0.020339966"
"1647","0.31248474","0.34120178","0.002243042"
"1652","0.2975769","0.3380127","-0.0116119385"
"1665","0.28053284","0.33268738","-0.025466919"
"1683","0.2230072","0.33374023","-0.054229736"
"1701","0.15588379","0.38061523","-0.056350708"
"1719","0.11647034","0.41363525","-0.008422852"
"1737","0.11967468","0.3934021","0.08106995"
"1746","0.1292572","0.378479","0.11941528"
"1755","0.10902405","0.38381958","0.1524353"
"1765","0.1015625","0.38487244","0.1524353"
"1782","0.09516907","0.35185242","0.114089966"
"1798","0.14523315","0.28260803","0.0693512"
"1817","0.18145752","0.07595825","0.049102783"
"1833","0.100494385","-0.040161133","-0.013748169"
"1837","0.013137817","-0.034835815","-0.06488037"
"1851","0.0035552979","-0.028442383","-0.073394775"
"1865","-0.040115356","-0.013534546","-0.08831787"
"1882","-0.027328491","-0.054016113","-0.06488037"
"1887","0.032318115","-0.15200806","-0.049957275"
"1899","0.04510498","-0.17332458","-0.049957275"
"1917","0.09197998","-0.3320465","-0.031845093"
"1954","0.029129028","-0.42684937","0.036331177"
"1961","-0.23719788","-0.30967712","-0.03504944"
"1971","-0.28619385","-0.30221558","-0.096832275"
"1981","-0.29577637","-0.3032837","-0.110687256"
"2001","-0.3213501","-0.40022278","-0.19377136"
"2017","-0.3458557","-0.49076843","-0.22146606"
"2021","-0.38313293","-0.580246","-0.21614075"
"2034","-0.38952637","-0.59303284","-0.21295166"
"2051","-0.4193573","-0.65802","-0.16607666"
"2070","-0.43852234","-0.69210815","-0.09043884"
"2071","-0.44065857","-0.69210815","-0.08192444"
"2086","-0.48007202","-0.67185974","-0.063812256"
"2097","-0.5205536","-0.6239319","-0.07978821"
"2103","-0.5354614","-0.57066345","-0.098968506"
"2115","-0.53652954","-0.5568085","-0.10322571"
"2131","-0.51097107","-0.5365753","-0.11387634"
"2136","-0.46621704","-0.53764343","-0.098968506"
"2149","-0.4502411","-0.5355072","-0.08937073"
"2156","-0.4033661","-0.5280609","-0.03930664"
"2170","-0.38420105","-0.5269928","-0.025466919"
"2181","-0.34371948","-0.5216675","-9.613037E-4"
"2184","-0.2947235","-0.5078125","0.022476196"
"2197","-0.27340698","-0.49076843","0.03100586"
"2217","-0.24038696","-0.4247284","0.06295776"
"2234","-0.24359131","-0.3320465","0.08958435"
"2240","-0.28619385","-0.2574768","0.1162262"
"2254","-0.31069946","-0.24256897","0.11941528"
"2265","-0.34797668","-0.18930054","0.13859558"
"2268","-0.33518982","-0.124313354","0.14178467"
"2281","-0.32028198","-0.08703613","0.13859558"
"2300","-0.27233887","-0.005004883","0.1055603"
"2318","-0.25636292","-0.03164673","0.08532715"
"2333","-0.24571228","-0.079574585","0.0927887"
"2350","-0.22227478","-0.09555054","0.09811401"
"2367","-0.21269226","-0.15734863","0.10450745"
"2383","-0.22015381","-0.19036865","0.10662842"
"2398","-0.23080444","-0.14668274","0.0970459"
"2404","-0.25636292","-0.11898804","0.08319092"
"2416","-0.26914978","-0.11154175","0.076797485"
"2435","-0.28086853","-0.103012085","0.07574463"
"2453","-0.23719788","-0.114730835","0.07147217"
"2470","-0.16156006","-0.1317749","0.07254028"
"2483","-0.115753174","-0.13816833","0.08425903"
"2486","-0.10935974","-0.14988708","0.09918213"
"2504","-0.11149597","-0.15840149","0.0970459"
"2526","-0.15090942","-0.20848083","0.09384155"
"2540","-0.115753174","-0.17225647","0.043777466"
"2554","-0.10189819","-0.14242554","0.027801514"
"2571","-0.0667572","-0.06359863","0.009689331"
"2581","-0.059295654","0.006713867","0.027801514"
"2598","-0.06248474","0.023757935","0.045913696"
"2619","-0.05822754","0.012039185","0.07574463"
"2636","-0.031600952","-0.03590393","0.09597778"
"2640","3.6621094E-4","-0.030578613","0.100234985"
"2656","0.011016846","-0.020980835","0.09172058"
"2663","0.014205933","0.018432617","0.053375244"
"2681","0.0024871826","0.030151367","0.036331177"
"2686","-0.016677856","0.040802002","0.023544312"
"2701","-0.023071289","0.03652954","0.024612427"
"2713","-0.029464722","0.0152282715","0.03100586"
"2718","-0.017745972","-0.012466431","0.043777466"
"2729","-0.0060272217","-0.011398315","0.048049927"
"2736","0.012084961","-0.013534546","0.051239014"
"2752","0.013137817","-0.012466431","0.049102783"
"2766","0.029129028","0.0045776367","0.04484558"
"2783","0.029129028","0.017364502","0.03845215"
"2802","0.011016846","0.014160156","0.026733398"
"2819","-0.0049591064","0.0077819824","0.008621216"
"2840","-0.027328491","-0.0082092285","-0.008422852"
"2852","-0.032669067","-0.014602661","-0.013748169"
"2870","-0.032669067","-0.015655518","-0.012680054"
"2891","-0.015625","-0.020980835","-0.020141602"
"2902","0.023803711","-0.042297363","-0.025466919"
"2924","0.025924683","-0.04548645","-0.021194458"
"2933","0.04510498","-0.020980835","0.006500244"
"2955","0.046173096","-0.02204895","0.0075683594"
"2968","0.047225952","-0.020980835","0.018218994"
"2980","0.04296875","-0.02204895","0.017150879"
"2986","0.039779663","-0.039093018","0.0118255615"
"2997","0.038711548","-0.06253052","0.010757446"
"3017","0.06854248","-0.089157104","0.0118255615"
"3034","0.11328125","-0.04336548","0.009689331"
"3053","0.12712097","-0.006072998","0.002243042"
"3069","0.11967468","0.03652954","-0.012680054"
"3083","0.07598877","0.037597656","-0.021194458"
"3097","0.023803711","0.0077819824","-0.020141602"
"3117","-0.009231567","3.2043457E-4","-0.012680054"
"3136","-7.019043E-4","-0.017791748","-0.010543823"
"3153","0.03125","-0.0018157959","-0.01586914"
"3169","0.05682373","0.0013885498","-0.016937256"
"3185","0.051498413","0.0013885498","0.002243042"
"3201","0.036575317","3.2043457E-4","0.008621216"
"3217","0.012084961","-0.005004883","0.0011749268"
"3236","0.0099487305","-0.013534546","-0.012680054"
"3253","0.048294067","0.009902954","-0.019073486"
"3270","0.065338135","0.0035095215","-0.024398804"
"3286","0.01953125","-0.0028839111","-0.01586914"
"3301","-0.04437256","-0.0028839111","0.012893677"
"3320","-0.080596924","-0.011398315","0.021408081"
"3338","-0.020950317","-0.0039367676","0.026733398"
"3354","0.051498413","-0.005004883","0.036331177"
"3371","0.10795593","-0.0082092285","0.036331177"
"3386","0.10688782","-0.020980835","0.037384033"
"3402","0.07493591","-0.023117065","0.049102783"
"3419","0.041900635","-0.049743652","0.05230713"
"3436","0.008880615","-0.028442383","0.04058838"
"3451","-0.014556885","-0.012466431","0.013961792"
"3467","0.0024871826","0.018432617","-0.006286621"
"3485","0.030181885","0.019485474","-0.008422852"
"3501","-0.033721924","0.030151367","-0.014801025"
"3511","-0.08592224","-0.023117065","-0.018005371"
"3527","-0.073135376","-0.036972046","-0.012680054"
"3540","-0.011352539","-0.036972046","-0.005218506"
"3553","0.036575317","-0.02204895","-0.0073547363"
"3568","0.051498413","0.0035095215","-0.008422852"
"3571","0.020599365","0.014160156","-0.009475708"
"3582","0.008880615","0.009902954","-0.0116119385"
"18","0.036575317","-0.044418335","-0.047836304"
"29","0.048294067","-0.0103302","-0.014801025"
"51","0.023803711","0.0077819824","-0.006286621"
"65","-0.026275635","0.04399109","0.012893677"
"79","-0.024139404","0.020553589","0.026733398"
"94","0.004623413","-0.028442383","0.01928711"
"111","0.03552246","-0.048690796","0.0011749268"
"128","0.036575317","-0.0103302","-0.01586914"
"146","0.015274048","0.029083252","-0.020141602"
"163","-0.0134887695","0.023757935","-0.005218506"
"179","-0.022003174","-0.0018157959","0.0075683594"
"196","-0.015625","-0.0337677","0.010757446"
"212","3.6621094E-4","-0.03590393","0.008621216"
"227","0.0078125","-7.4768066E-4","-9.613037E-4"
"245","0.0067596436","0.020553589","0.006500244"
"263","0.014205933","0.02482605","0.020339966"
"280","0.022735596","0.02268982","0.026733398"
"296","0.032318115","3.2043457E-4","0.022476196"
"313","0.03552246","-0.030578613","0.005432129"
"317","0.03552246","-0.03164673","-0.019073486"
"329","0.03125","-0.026321411","-0.021194458"
"342","0.020599365","0.010971069","-0.036117554"
"349","0.01953125","0.061035156","-0.040374756"
"362","0.026992798","0.06529236","-0.03504944"
"379","0.041900635","0.05996704","-0.025466919"
"395","0.046173096","0.006713867","0.0011749268"
"412","0.024856567","-0.056137085","0.009689331"
"429","-0.00390625","-0.07318115","-0.020141602"
"446","-0.024139404","-0.027374268","-0.07872009"
"464","-0.02520752","0.019485474","-0.11708069"
"481","-0.011352539","0.008834839","-0.12452698"
"497","0.0078125","-0.0337677","-0.10003662"
"513","0.017410278","-0.061462402","-0.07765198"
"527","0.016342163","-0.05934143","-0.063812256"
"545","0.0078125","-0.015655518","-0.057418823"
"562","0.0099487305","0.02482605","-0.044631958"
"579","0.0067596436","0.021621704","-0.005218506"
"595","-0.007095337","0.009902954","0.005432129"
"612","-0.032669067","-0.02418518","0.002243042"
"628","-0.04118347","-0.041229248","0.002243042"
"645","-0.019882202","-0.026321411","-0.0041503906"
"660","0.029129028","0.008834839","-0.009475708"
"678","0.048294067","0.025878906","-0.012680054"
"702","0.037643433","0.035476685","-0.005218506"
"710","0.014205933","0.05357361","0.020339966"
"733","0.017410278","0.05357361","0.025665283"
"743","0.062149048","0.045059204","1.0681152E-4"
"771","0.077056885","0.047195435","-0.012680054"
"807","0.07493591","0.08766174","-0.032913208"
"814","0.04296875","0.12069702","0.021408081"
"837","0.04084778","0.11216736","0.03100586"
"846","0.048294067","0.13134766","0.08319092"
"869","0.055755615","0.13241577","0.07467651"
"875","0.11753845","0.15904236","0.005432129"
"901","0.13246155","0.169693","-0.013748169"
"904","0.13883972","0.17182922","-0.020141602"
"931","0.16334534","0.11109924","-0.040374756"
"936","0.17506409","0.08766174","-0.012680054"
"944","0.16227722","0.105773926","0.005432129"
"968","0.1484375","0.117492676","0.0118255615"
"978","0.13990784","0.21870422","0.0544281"
"1001","0.14630127","0.22402954","0.06188965"
"1007","0.18571472","0.23680115","0.06295776"
"1035","0.18678284","0.2400055","0.05870056"
"1064","0.09410095","0.20803833","0.013961792"
"1068","0.0056915283","0.21231079","-9.613037E-4"
"1081","-0.023071289","0.22296143","0.017150879"
"1103","-0.024139404","0.22402954","0.022476196"
"1111","0.012084961","0.26023865","0.041656494"
"1137","0.022735596","0.2762146","0.045913696"
"1172","0.08451843","0.33161926","0.029937744"
"1205","0.09303284","0.20591736","0.055496216"
"1215","0.03125","0.19845581","0.034194946"
"1237","0.020599365","0.21336365","0.024612427"
"1242","-0.008163452","0.26663208","-0.063812256"
"1270","0.011016846","0.2538452","-0.08618164"
"1274","0.11328125","0.1973877","-0.11387634"
