"Time","X","Y","Z"
"17","0.07084656","0.009567261","0.0016326904"
"25","0.01864624","-0.011749268","0.0048217773"
"36","0.009063721","0.002105713","5.645752E-4"
"68","-0.005859375","0.026611328","-0.0015716553"
"96","-0.013305664","0.029800415","-0.007965088"
"120","0.015457153","-0.0149383545","-0.02180481"
"129","0.031433105","-0.036239624","-0.009033203"
"141","0.023971558","-0.0181427","-0.0037078857"
"152","0.005859375","-3.0517578E-5","0.0058898926"
"154","-0.010116577","0.018081665","0.01121521"
"169","-0.019699097","0.026611328","0.014404297"
"185","-0.025024414","0.023406982","0.016540527"
"202","-0.01651001","0.0084991455","0.003753662"
"206","-0.0069122314","-0.0042877197","-0.0015716553"
"219","-0.0015869141","-0.012817383","-0.0037078857"
"236","0.019714355","-0.01600647","0.003753662"
"238","0.027175903","-0.009613037","0.010147095"
"251","0.023971558","-0.00642395","0.014404297"
"257","0.01864624","0.0084991455","0.019729614"
"269","0.015457153","0.012756348","0.02079773"
"288","-0.005859375","0.022338867","0.024002075"
"302","-0.023956299","0.006362915","0.018676758"
"310","-0.031417847","0.01914978","0.006958008"
"319","-0.030349731","0.01701355","0.0026855469"
"335","-0.02822876","0.027664185","0.0026855469"
"342","-0.009048462","0.048980713","0.003753662"
"353","-0.005859375","0.047912598","0.003753662"
"369","0.02822876","0.032989502","5.645752E-4"
"371","0.034622192","0.022338867","-0.0037078857"
"385","0.036758423","0.012756348","-0.007965088"
"401","0.03036499","-3.0517578E-5","-0.01008606"
"418","0.012252808","0.009567261","-0.018615723"
"423","-0.0026550293","0.01914978","-0.031402588"
"435","0.0016021729","0.022338867","-0.028198242"
"443","0.0037384033","0.026611328","-0.02394104"
"452","0.0037384033","0.0287323","-0.02180481"
"469","0.019714355","0.032989502","-0.02180481"
"474","0.027175903","0.023406982","-0.022872925"
"485","0.027175903","0.01914978","-0.022872925"
"501","0.03250122","0.010620117","-0.0068969727"
"504","0.043151855","0.0052948","-0.025009155"
"518","0.046340942","0.0031738281","-0.039916992"
"526","0.05166626","0.0713501","-0.02394104"
"535","0.050613403","0.076675415","-0.020751953"
"552","0.064453125","0.09158325","-0.042053223"
"556","0.10493469","0.12992859","-0.039916992"
"569","0.11451721","0.13632202","-0.043121338"
"576","0.17311096","0.11502075","-0.029266357"
"588","0.25726318","0.123550415","-0.02180481"
"602","0.31053162","0.10543823","-0.022872925"
"607","0.37445068","0.057495117","-0.029266357"
"619","0.3882904","0.03086853","-0.027130127"
"635","0.40533447","0.021270752","-0.017547607"
"637","0.39894104","0.051101685","-0.0058288574"
"651","0.38084412","0.08732605","-0.0015716553"
"659","0.33396912","0.19065857","-0.009033203"
"668","0.32757568","0.20770264","-0.0143585205"
"685","0.29348755","0.312088","-0.040985107"
"688","0.26686096","0.33979797","-0.06549072"
"701","0.25300598","0.35256958","-0.07507324"
"718","0.20613098","0.34724426","-0.08039856"
"734","0.17736816","0.34724426","-0.06335449"
"740","0.19015503","0.34831238","-0.06867981"
"750","0.22105408","0.3685608","-0.08786011"
"765","0.24874878","0.39944458","-0.10809326"
"770","0.25193787","0.47187805","-0.13259888"
"782","0.23596191","0.5304718","-0.1421814"
"792","0.19654846","0.65937805","-0.14964294"
"802","0.17843628","0.70944214","-0.13899231"
"816","0.17311096","0.7275543","-0.12727356"
"824","0.17204285","0.7669678","-0.104904175"
"834","0.19548035","0.8053131","-0.08253479"
"849","0.21252441","0.8308716","-0.06335449"
"854","0.21359253","0.83621216","-0.05696106"
"866","0.2029419","0.8308716","-0.04949951"
"873","0.19548035","0.78401184","-0.029266357"
"886","0.21040344","0.7168884","0.0026855469"
"898","0.22424316","0.677475","0.041046143"
"905","0.24661255","0.6231537","0.08152771"
"917","0.26791382","0.56137085","0.09536743"
"924","0.2775116","0.4335327","0.066604614"
"936","0.27323914","0.41329956","0.057022095"
"949","0.22105408","0.36535645","-0.04737854"
"954","0.16139221","0.39093018","-0.08358765"
"964","0.11878967","0.4473877","-0.09425354"
"976","0.06552124","0.6029053","-0.052703857"
"986","0.078308105","0.6476593","0.010147095"
"998","0.12411499","0.61143494","0.06021118"
"1009","0.25086975","0.43566895","0.10922241"
"1015","0.3094635","0.33233643","0.11454773"
"1026","0.37338257","0.2013092","0.08578491"
"1036","0.37763977","0.13420105","0.015472412"
"1051","0.3648529","0.1459198","-0.054840088"
"1061","0.3052063","0.24923706","-0.1187439"
"1070","0.2817688","0.2843933","-0.12727356"
"1087","0.23703003","0.16615295","-0.14006042"
"1104","0.123046875","0.01914978","-0.12834167"
"1108","0.0079956055","-0.057556152","-0.07081604"
"1118","-0.009048462","-0.06074524","-0.062286377"
"1135","-0.052719116","0.023406982","-0.01222229"
"1138","-0.038879395","0.06602478","0.01121521"
"1154","-0.01651001","0.06814575","0.019729614"
"1171","0.07723999","0.0010375977","0.033584595"
"1189","0.1560669","-0.23118591","0.008010864"
"1205","0.22210693","-0.53904724","-0.044174194"
"1211","0.21252441","-0.7552948","-0.09211731"
"1240","0.18908691","-0.81814575","-0.104904175"
"1254","-0.20932007","-0.84584045","-0.05909729"
"1269","-0.30412292","-0.73506165","-0.050567627"
"1273","-0.4191742","-0.6221466","-0.030334473"
"1290","-0.45965576","-0.6008301","-0.019683838"
"1300","-0.53848267","-0.58166504","-0.0068969727"
"1305","-0.58110046","-0.6210785","0.0048217773"
"1321","-0.5928192","-0.65623474","0.0058898926"
"1327","-0.60665894","-0.7968445","0.029327393"
"1339","-0.6098633","-0.8394623","0.028259277"
"1353","-0.62690735","-0.9257355","0.04849243"
"1357","-0.66311646","-0.9374542","0.06448364"
"1370","-0.6748352","-0.933197","0.066604614"
"1387","-0.7547302","-0.914032","0.061279297"
"1405","-0.8282318","-0.81814575","0.062347412"
"1406","-0.83569336","-0.80430603","0.0655365"
"1419","-0.8516693","-0.68711853","0.088974"
"1435","-0.80799866","-0.56036377","0.13371277"
"1439","-0.78456116","-0.5220032","0.14970398"
"1453","-0.77497864","-0.51560974","0.15289307"
"1459","-0.7387543","-0.5337219","0.14437866"
"1473","-0.7206421","-0.5294647","0.13371277"
"1488","-0.6290283","-0.47833252","0.10494995"
"1505","-0.45433044","-0.46128845","0.08685303"
"1521","-0.28068542","-0.39523315","0.099624634"
"1539","-0.12516785","-0.31428528","0.11773682"
"1557","-0.06124878","-0.2450409","0.15821838"
"1572","-0.062316895","-0.1747284","0.19444275"
"1590","-0.08255005","-0.11187744","0.20828247"
"1606","-0.10491943","-0.046905518","0.19230652"
"1622","-0.13793945","0.01701355","0.1678009"
"1643","-0.1773529","0.024475098","0.13798523"
"1659","-0.118774414","0.06388855","0.078323364"
"1683","-0.10279846","0.05430603","0.068740845"
"1716","0.037826538","-0.005355835","0.047439575"
"1749","0.04421997","-0.026657104","0.062347412"
"1759","-0.0047912598","0.009567261","0.04849243"
"1778","-0.009048462","0.014892578","0.04423523"
"1787","0.01864624","0.05003357","0.0090789795"
"1817","0.023971558","0.048980713","0.003753662"
"1849","-0.0015869141","-0.023468018","0.01121521"
"1880","0.029296875","0.0031738281","0.0048217773"
"1893","0.015457153","0.01914978","0.0048217773"
"1921","0.009063721","0.024475098","0.0026855469"
"1947","-0.007980347","-0.0181427","0.01121521"
"1953","0.0079956055","-0.023468018","0.030395508"
"1983","0.02078247","-0.013870239","0.025054932"
"2015","0.06338501","-0.05328369","0.0026855469"
"2025","0.033569336","-0.046905518","-0.017547607"
"2048","0.025039673","-0.034118652","-0.018615723"
"2057","-0.011184692","0.04258728","-0.029266357"
"2086","-0.013305664","0.05003357","-0.027130127"
"2122","-0.0037231445","0.015945435","-0.0143585205"
"2150","0.048477173","-0.038375854","0.024002075"
"2160","0.07191467","0.014892578","0.012283325"
"2188","0.074035645","0.024475098","0.012283325"
"2222","0.043151855","0.037261963","0.0048217773"
"2247","0.01864624","0.021270752","0.03465271"
"2257","0.012252808","0.006362915","0.025054932"
"2276","0.011184692","0.006362915","0.025054932"
"2298","-0.0026550293","0.0010375977","0.025054932"
"2307","-0.007980347","0.010620117","0.0026855469"
"2327","-0.005859375","0.011688232","0.003753662"
"2338","0.02822876","-0.0149383545","0.028259277"
"2354","0.035690308","-0.021331787","0.029327393"
"2358","0.054870605","-0.0415802","0.045303345"
"2376","0.058059692","-0.046905518","0.045303345"
"2390","0.064453125","-0.0149383545","0.025054932"
"2412","0.058059692","-0.0042877197","0.025054932"
"2420","0.009063721","0.013824463","0.003753662"
