"Time","X","Y","Z"
"13","-0.37010193","-0.9698334","-0.019638062"
"16","-0.63534546","-1.0529175","-0.00579834"
"28","-0.82603455","-1.0880737","-0.014312744"
"37","-0.97410583","-1.2159119","-0.07929993"
"57","-0.97517395","-1.2510529","-0.11231995"
"77","-0.7024536","-1.31604","-0.28701782"
"79","-0.6555939","-1.3192291","-0.30513"
"107","-0.32855225","-1.365036","-0.41059875"
"110","-0.25079346","-1.4545288","-0.49794006"
"140","-0.42868042","-1.4470673","-0.6034088"
"166","-0.947464","-1.444931","-0.46492004"
"181","-1.1967468","-1.4268341","-0.30833435"
"212","-1.1157837","-1.444931","-0.2998047"
"230","-0.7674408","-1.5109863","-0.5288391"
"233","-0.6673126","-1.4364166","-0.53948975"
"257","-0.5682373","-1.3117828","-0.50753784"
"264","-0.8153839","-0.9815521","-0.4734497"
"280","-0.95066833","-1.0017853","-0.4691925"
"285","-1.2286987","-1.15625","-0.45533752"
"302","-1.296875","-1.2105713","-0.45108032"
"304","-1.3384247","-1.3075104","-0.43936157"
"324","-1.234024","-1.3341522","-0.3711853"
"337","-0.78448486","-0.97727966","-0.25613403"
"356","-0.5895386","-0.81536865","-0.21990967"
"373","0.016601562","-0.38713074","-0.110198975"
"377","0.27970886","-0.21881104","-0.07183838"
"391","0.407547","-0.17939758","-0.053726196"
"405","0.7345886","-0.10910034","-0.042007446"
"409","0.9146118","0.022994995","-0.072906494"
"421","0.93911743","0.058151245","-0.08143616"
"438","1.0040894","0.24884033","-0.14108276"
"457","0.89331055","0.37879944","-0.17410278"
"472","0.7047577","0.3447113","-0.13575745"
"488","0.4128723","0.18598938","-0.021774292"
"506","0.15827942","0.1018219","0.058120728"
"509","0.056015015","0.069869995","0.051727295"
"531","-0.06329346","0.060287476","0.01977539"
"554","-0.1719513","0.22219849","-0.020706177"
"561","-0.25398254","0.33511353","-0.057998657"
"578","-0.2699585","0.33406067","-0.05479431"
"584","-0.29125977","0.26800537","0.026168823"
"606","-0.27209473","0.22433472","0.07197571"
"614","-0.21350098","0.14762878","0.10392761"
"631","-0.16983032","0.13165283","0.10606384"
"633","-0.13893127","0.13804626","0.100738525"
"654","-0.010040283","0.26055908","0.096466064"
"676","0.0634613","0.33299255","0.108184814"
"686","0.10714722","0.23924255","0.13587952"
"709","0.12098694","0.18704224","0.13908386"
"717","0.15827942","0.028320312","0.1539917"
"744","0.19023132","-0.082458496","0.17103577"
"747","0.21047974","-0.11654663","0.1816864"
"758","0.24989319","0.03578186","0.13801575"
"788","0.24456787","0.06454468","0.13162231"
"815","-0.1133728","0.6834564","0.31059265"
"818","-0.18580627","0.76016235","0.35958862"
"829","0.360672","0.53645325","0.23921204"
"856","0.5843811","0.056015015","0.12097168"
"869","0.3148651","-0.052642822","0.13587952"
"891","0.20301819","-0.06329346","0.12522888"
"907","-0.008972168","-0.20603943","0.09539795"
"912","-0.11656189","-0.3519745","0.11778259"
"924","-0.13467407","-0.36582947","0.11671448"
"932","-0.2710266","-0.33599854","0.06237793"
"953","-0.33813477","-0.2774048","0.028289795"
"973","-0.39353943","-0.33918762","0.073028564"
"976","-0.37968445","-0.3477173","0.07197571"
"986","-0.15597534","-0.49790955","-0.044143677"
"1016","-0.016433716","-0.504303","-0.037750244"
"1035","0.38624573","-0.18792725","0.042144775"
"1040","0.47679138","-0.103775024","0.04107666"
"1056","0.48744202","-0.08459473","0.042144775"
"1071","0.47572327","-0.068618774","0.04321289"
"1089","0.25201416","-0.09631348","0.058120728"
"1107","0.015533447","-0.04197693","0.060256958"
"1112","-0.13360596","0.044296265","0.02722168"
"1123","-0.15385437","0.058151245","0.020843506"
"1144","-0.22735596","0.069869995","-0.024963379"
"1154","-0.17834473","-0.045181274","-0.015380859"
"1173","-0.15065002","-0.078201294","-0.011123657"
