"Time","X","Y","Z"
"10","-0.35624695","-0.82388306","0.12310791"
"27","-0.6246948","-1.205246","0.1689148"
"47","-0.8451996","-1.3501282","-0.20393372"
"59","-0.97517395","-1.12323","-0.8399048"
"87","-1.0241699","-0.9293518","-1.0827789"
"91","-1.0390778","-0.8217621","-1.162674"
"101","-1.0870209","-1.1210938","-0.86227417"
"124","-1.0987396","-1.1306763","-0.6779785"
"147","-0.88674927","-0.9932709","-0.1794281"
"168","-0.5416107","-0.8963318","-0.22843933"
"192","-0.15597534","-0.8217621","-0.42338562"
"200","0.09436035","-0.947464","-0.5149994"
"219","0.12312317","-0.982605","-0.5181885"
"229","0.005935669","-1.0870056","-0.42443848"
"247","-0.13467407","-1.0923309","-0.39567566"
"277","-0.62150574","-0.8569031","-0.5714569"
"302","-0.80685425","-0.21348572","-0.750412"
"309","-0.64920044","0.041107178","-0.77705383"
"328","-0.53414917","0.02406311","-0.8015442"
"348","-0.31150818","-0.029205322","-0.8292389"
"360","-0.080337524","0.02619934","-0.75361633"
"380","-0.11869812","0.08052063","-0.70780945"
"412","-0.27848816","0.49490356","-0.54481506"
"431","-0.28060913","0.5747986","-0.62364197"
"434","-0.26037598","0.5673523","-0.64068604"
"445","-0.1719513","0.4459076","-0.66093445"
"466","-0.14852905","0.41075134","-0.6353607"
"478","0.0783844","0.28292847","-0.4734497"
"501","0.16572571","0.34683228","-0.43190002"
"508","0.32765198","0.4693451","-0.47877502"
"532","0.3095398","0.59291077","-0.6630707"
"540","0.19555664","0.595047","-0.8505554"
"551","0.138031","0.4459076","-0.8537445"
"568","0.11566162","0.3755951","-0.83776855"
"580","0.11779785","0.01020813","-0.7195282"
"599","0.12738037","-0.010025024","-0.68330383"
"612","0.12738037","0.14123535","-0.445755"
"630","0.08477783","0.1721344","-0.3477478"
"651","-0.11016846","-0.0036315918","-0.096343994"
"662","-0.32322693","-0.06008911","-0.084625244"
"684","-0.34985352","-0.04624939","-0.110198975"
"697","-0.29660034","0.015548706","-0.15812683"
"702","-0.2710266","0.016601562","-0.14961243"
"728","-0.13360596","-0.05583191","-0.0771637"
"730","-0.0345459","-0.07501221","-0.020706177"
"756","0.2861023","-0.013214111","0.12097168"
"764","0.3244629","0.03152466","0.220047"
"782","0.24029541","-0.004699707","0.23495483"
"793","-0.04624939","-0.11228943","0.19554138"
"821","-0.09738159","-0.09738159","0.1539917"
"834","0.18276978","-0.016418457","-0.43296814"
"865","0.5098114","-0.14530945","-0.7291107"
"879","1.2001038","-0.07501221","-0.5235138"
"906","1.3843994","-0.092056274","-0.352005"
"916","1.2331238","-0.19432068","-0.14640808"
"936","1.0488281","-0.23266602","-0.12084961"
"947","0.23071289","-0.5863342","0.21258545"
"967","0.10394287","-0.56396484","0.2796936"
"980","0.036834717","-0.43826294","0.18807983"
"998","0.077316284","-0.46063232","0.13482666"
"1025","0.08157349","-0.39564514","-0.075042725"
"1028","0.13163757","-0.3019104","-0.27957153"
"1056","0.12312317","-0.31575012","-0.30194092"
"1059","0.079437256","-0.2827301","-0.19328308"
"1081","-0.17408752","0.372406","0.78782654"
"1091","-0.27742004","0.38624573","1.1265869"
"1114","-0.25291443","0.31913757","1.0605316"
"1124","-0.09312439","0.31062317","1.096756"
"1131","0.024047852","0.20942688","1.1042175"
"1153","0.08477783","0.15827942","1.1031494"
"1163","0.34043884","-0.008956909","1.1383057"
"1183","0.36706543","-0.045181274","1.1063385"
"1193","0.40647888","0.14337158","0.68981934"
"1216","0.3798523","0.29997253","0.5992737"
"1226","0.52685547","0.4043579","0.5726471"
"1251","0.7463074","0.3447113","0.63549805"
"1259","1.4238129","0.15190125","0.7675934"
"1284","1.7508392","0.27653503","0.8591919"
"1286","1.8989105","0.5034332","0.9710541"
"1297","1.8989105","0.5289917","0.98703"
"1318","1.823288","0.5684204","0.9848938"
"1330","1.3087616","0.5385895","0.86772156"
"1351","1.1159515","0.36068726","0.8038025"
"1360","0.63764954","-0.32746887","0.7217865"
"1393","0.2541504","-0.36795044","0.7303009"
"1408","-1.6004791","0.8315277","0.94654846"
"1423","-2.0425568","0.83047485","0.73350525"
"1449","-1.808197","0.4970398","0.46931458"
"1479","-0.15917969","-0.5096283","-0.08569336"
"1482","-0.09951782","-0.47128296","-0.10699463"
"1495","0.07624817","0.114608765","-0.19541931"
"1521","0.04534912","0.20196533","-0.17623901"
"1546","-0.17408752","0.013412476","0.061309814"
"1565","-0.22415161","-0.059020996","0.15719604"
"1576","-0.24758911","0.48957825","0.108184814"
"1596","-0.2944641","0.7388611","0.0836792"
"1618","-0.4467926","1.1777496","0.07409668"
"1627","0.08370972","0.2701416","-0.119781494"
"1648","0.24989319","-0.16342163","-0.09313965"
"1658","0.4032898","-0.42973328","0.059188843"
"1684","0.36706543","-0.26782227","0.035751343"
"1686","0.3244629","-0.1612854","0.02722168"
"1697","0.016601562","0.16467285","0.016571045"
"1712","-0.017501831","0.17106628","0.018707275"
"1721","-0.20817566","0.091171265","0.05493164"
"1742","-0.2891388","-0.03239441","0.059188843"
"1750","-0.24546814","-0.4233551","-0.018585205"
"1774","-0.16662598","-0.5575714","-0.02923584"
"1783","0.09754944","-0.54052734","0.014450073"
"1805","0.13163757","-0.455307","0.042144775"
"1813","0.11140442","-0.21562195","0.16038513"
"1843","0.07305908","-0.17832947","0.17424011"
"1856","-0.10058594","-0.2592926","0.13801575"
"1877","-0.14213562","-0.26036072","0.13482666"
"1884","-0.14852905","-0.20497131","0.11671448"
"1904","-0.13893127","-0.1804657","0.10925293"
"1914","-0.030273438","-0.13146973","0.13162231"
"1935","6.1035156E-4","-0.14530945","0.13375854"
"1943","0.16360474","-0.26356506","0.12310791"
"1973","0.17958069","-0.27101135","0.10606384"
"2004","0.112472534","-0.103775024","-0.032424927"
"2016","-0.011108398","0.062408447","-0.13894653"
"2034","-0.029205322","0.061340332","-0.14001465"
"2035","-0.047317505","0.048568726","-0.13682556"
"2048","6.1035156E-4","-0.047302246","-0.14215088"
"2065","0.026184082","-0.08139038","-0.14108276"
"2067","0.07092285","-0.12294006","-0.14215088"
"2078","0.15400696","-0.17514038","-0.14001465"
"2102","0.17532349","-0.16662598","-0.14533997"
"2111","0.12631226","-0.066482544","-0.13362122"
"2132","0.026184082","0.02192688","-0.10592651"
"2141","-0.15171814","0.25309753","-0.07183838"
"2150","-0.20391846","0.3670807","-0.07077026"
"2178","-0.22842407","0.419281","-0.06971741"
"2190","-0.50006104","0.5854645","-0.12936401"
"2222","-0.5852814","0.36068726","-0.3466797"
"2238","-0.23693848","0.09437561","-0.63856506"
"2242","-0.019622803","0.114608765","-0.6311035"
"2272","0.17532349","0.15190125","-0.5565338"
"2289","0.45121765","0.42886353","-0.1517334"
"2296","0.43417358","0.49490356","0.004852295"
"2326","0.4118042","0.4459076","0.048538208"
"2341","0.3297882","0.21047974","-0.06225586"
"2371","0.3340454","0.05708313","-0.10592651"
"2377","0.759079","0.33511353","-0.12510681"
"2407","0.918869","0.41500854","-0.10913086"
"2410","0.94869995","0.41288757","-0.10380554"
"2423","0.965744","0.2040863","0.12843323"
"2448","0.87413025","0.22433472","0.2509308"
"2451","0.81980896","0.22007751","0.27755737"
"2463","0.6248627","0.1955719","0.2743683"
"2489","0.57373047","0.2467041","0.28289795"
"2521","0.15614319","0.5492401","0.11778259"
"2523","0.07199097","0.5705414","0.08155823"
"2547","-0.33813477","0.65257263","-0.16558838"
"2558","-0.4744873","0.548172","-0.25827026"
"2573","-0.5171051","0.48745728","-0.26145935"
"2596","-0.562912","0.4693451","-0.18263245"
"2618","-0.549057","0.4736023","-0.086761475"
"2628","-0.45639038","0.45336914","-0.012191772"
"2649","-0.40205383","0.4182129","-0.012191772"
"2659","-0.19326782","0.2424469","-0.02709961"
"2684","-0.06863403","0.12739563","-0.04095459"
"2688","0.012329102","0.08691406","-0.06439209"
"2699","0.1295166","0.11886597","-0.1282959"
"2721","0.14123535","0.11781311","-0.13362122"
"2732","0.24775696","0.2424469","-0.049468994"
"2749","0.24882507","0.26055908","-0.024963379"
"2762","0.22857666","0.33724976","0.084747314"
"2780","0.2275238","0.37773132","0.10606384"
"2803","0.24349976","0.35749817","0.089019775"
"2811","0.31274414","0.27653503","0.040008545"
"2834","0.37452698","0.23605347","0.030426025"
"2841","0.7324524","0.02406311","0.06663513"
"2864","0.9827881","-0.1612854","0.1028595"
"2889","1.1915741","-0.22947693","0.16357422"
"2892","1.1436462","-0.11654663","0.17529297"
"2913","0.94337463","0.15722656","0.14015198"
"2935","0.69836426","0.32659912","0.11883545"
"2946","0.6323242","0.11248779","0.2711792"
"2964","0.6355133","0.02192688","0.31591797"
"2984","0.59609985","-0.05050659","0.3734436"
"2994","0.38729858","0.23179626","0.25839233"
"3019","0.33937073","0.3010254","0.21044922"
"3031","0.22857666","0.42567444","0.013381958"
"3050","0.2626648","0.3713379","-0.008987427"
"3060","0.4554901","0.2893219","0.012313843"
"3081","0.39901733","0.43312073","0.07409668"
"3090","-0.14318848","0.21047974","0.16996765"
"3100","-0.31896973","0.3436432","0.11778259"
"3121","-0.40312195","0.4267273","0.07623291"
"3130","-0.63534546","0.71435547","-0.0771637"
"3148","-0.60339355","0.6685486","-0.1048584"
"3158","-0.052642822","-0.04197693","-0.1282959"
"3184","0.15827942","-0.39671326","-0.044143677"
"3193","0.4043579","-0.6790161","0.05279541"
"3216","0.39263916","-0.598053","0.030426025"
"3219","0.3063507","-0.4318695","-0.016448975"
"3231","-0.0068359375","-0.26568604","-0.086761475"
"3257","-0.12721252","-0.22520447","-0.08781433"
"3260","-0.21775818","-0.22627258","-0.086761475"
"3286","-0.6406708","-0.59484863","-0.044143677"
"3296","-0.8441467","-0.7610321","0.037887573"
"3312","-0.9261627","-0.70777893","0.057052612"
"3321","-1.0028687","-0.43933105","0.014450073"
"3338","-0.9890137","-0.361557","-0.0036621094"
"3341","-0.95173645","-0.24757385","-0.042007446"
"3365","-0.81111145","-0.17939758","-0.1006012"
"3373","-0.5352173","-0.30403137","-0.13362122"
"3382","-0.38394165","-0.44252014","-0.12724304"
"3400","-0.3647766","-0.47128296","-0.121902466"
"3402","-0.3445282","-0.49897766","-0.11552429"
"3414","-0.36582947","-0.74931335","0.045333862"
"3435","-0.40631104","-0.7429199","0.084747314"
"3444","-0.5661011","-0.39031982","0.14759827"
"3475","-0.5671692","-0.31469727","0.126297"
"3484","-0.48088074","-0.17407227","0.01550293"
"3506","-0.45318604","-0.17939758","0.010177612"
"3517","-0.3914032","-0.32641602","-0.0015411377"
"3538","-0.38819885","-0.35516357","0.008056641"
"3547","-0.40098572","-0.34025574","0.03894043"
"3564","-0.41163635","-0.29019165","0.049591064"
"3595","-0.35198975","-0.12081909","-0.0015411377"
"3597","-0.33706665","-0.11654663","-0.008987427"
"3625","-0.21350098","-0.07394409","-0.037750244"
"3628","-0.1453247","-0.04624939","-0.013259888"
"3651","-0.0622406","0.03152466","0.0069885254"
"3659","0.024047852","0.12313843","0.018707275"
"3683","0.07518005","0.13058472","0.020843506"
"3691","0.11354065","0.20089722","0.01977539"
"3699","0.13163757","0.28825378","0.02722168"
"3719","0.15188599","0.3212738","0.020843506"
"3730","0.30421448","0.31806946","-0.0036621094"
"3754","0.32658386","0.325531","0.0069885254"
"3762","0.37664795","0.63764954","0.09434509"
"3781","0.39263916","0.803833","0.10179138"
"3805","0.54815674","1.0286102","0.025100708"
"3811","0.79211426","0.7537689","-0.06544495"
"3831","0.8262024","0.7026367","-0.06544495"
"3842","0.8080902","0.60250854","-0.0036621094"
"3877","0.75268555","0.7196808","0.028289795"
"3883","0.62805176","1.0957184","-0.037750244"
"3896","0.62698364","1.120224","-0.08143616"
"3921","0.6216583","1.0701599","-0.10592651"
"3924","0.61953735","1.0477753","-0.11552429"
"3935","0.7548218","0.55137634","-0.033493042"
"3967","0.56947327","0.4459076","0.035751343"
"3981","0.032577515","-0.21348572","0.042144775"
"3989","-0.028152466","-0.22520447","0.02722168"
"4023","-0.11230469","-0.21348572","0.048538208"
"4027","-0.24972534","-0.27101135","0.09539795"
"4041","-0.40098572","-0.5618286","0.13269043"
"4053","-0.48727417","-0.58740234","0.14440918"
"4060","-0.5266876","-0.5000458","0.12416077"
"4103","-0.5384064","-0.39671326","0.079422"
"4112","-0.40419006","-0.3296051","-0.051605225"
