"Time","X","Y","Z"
"4","0.23001099","0.20466614","0.057785034"
"16","0.18634033","0.20892334","0.027954102"
"31","0.09579468","0.034225464","0.036468506"
"54","0.057434082","-0.07229614","0.05458069"
"79","-0.13323975","-0.5719147","0.15577698"
"104","-0.29730225","-0.7306366","0.10997009"
"129","-0.119400024","-0.47709656","0.1025238"
"154","0.1756897","-0.28642273","0.24633789"
"181","0.17887878","-0.3322296","0.45191956"
"202","-0.072525024","0.118377686","0.6213074"
"222","-0.2940979","0.08428955","0.6277008"
"247","-0.2940979","-0.30558777","0.5019989"
"274","-0.119400024","-0.6294403","0.27082825"
"297","-0.19822693","-0.4557953","0.11317444"
"320","-0.39424133","0.1386261","0.31770325"
"346","-0.4144745","0.20892334","0.30812073"
"371","-0.32711792","-0.030761719","0.09187317"
"378","-0.15988159","-0.39294434","-0.078567505"
"396","-0.15135193","-0.42384338","-0.09881592"
"410","-0.17692566","-0.27149963","-0.12864685"
"428","-0.19502258","-0.17030334","-0.102005005"
"448","-0.20036316","-0.3354187","-0.05833435"
"469","-0.19502258","-0.6315613","0.026885986"
"479","-0.15560913","-0.7338257","0.08441162"
"503","-0.15028381","-0.7103882","0.08866882"
"510","-0.24615479","-0.41744995","0.029022217"
"539","-0.2344513","-0.31625366","0.021560669"
"574","0.014831543","-0.4281006","0.0236969"
"581","0.023345947","-0.5058594","-0.021057129"
"612","-0.0107421875","-0.5111847","-0.0072021484"
"644","-0.121520996","-0.29493713","-0.021057129"
"677","0.13093567","-0.28749084","-0.029571533"
"707","0.25238037","-0.05845642","-0.06259155"
"717","0.24066162","-0.2800293","0.008773804"
"750","0.11495972","-0.4057312","0.024749756"
"753","0.01802063","-0.3577881","0.026885986"
"765","-0.21313477","-0.2331543","0.03327942"
"796","-0.1375122","-0.2054596","0.06097412"
"823","0.057434082","0.069381714","0.025817871"
"824","0.07661438","0.17164612","0.06523132"
"860","0.02973938","0.12158203","0.08547974"
"876","-0.09170532","-0.00944519","0.08973694"
"898","-0.09275818","0.009719849","0.046066284"
"921","-0.11619568","0.003326416","0.0013275146"
"931","-0.11407471","0.019317627","-0.038101196"
"953","-0.11300659","0.01399231","-0.043426514"
"960","-0.12046814","-0.04460144","-0.049819946"
"991","-0.13111877","-0.045669556","-0.05833435"
"1001","-0.19502258","-0.05206299","-0.053009033"
"1025","-0.1641388","-0.057388306","-0.03489685"
"1032","-0.06187439","0.032089233","-0.018920898"
"1053","-0.057617188","0.04701233","-0.019989014"
"1063","0.065963745","0.016113281","0.006652832"
"1089","0.09579468","0.031036377","0.016235352"
"1121","0.16609192","0.16738892","0.029022217"
"1156","0.063827515","0.04701233","0.03967285"
"1164","-0.007537842","-0.059524536","0.04286194"
"1196","-0.0107421875","-0.05418396","0.034347534"
"1226","0.04145813","-0.024368286","-0.03703308"
"1260","0.0819397","-0.048858643","-0.029571533"
"1263","0.02015686","-0.024368286","-0.038101196"
"1299","0.016952515","-0.017974854","-0.040222168"
"1308","0.016952515","0.057662964","-0.017852783"
"1314","0.019088745","0.03315735","-0.005065918"
"1352","0.021224976","0.022506714","-8.087158E-4"
"1355","0.021224976","0.008666992","0.005584717"
"1393","0.02015686","0.029968262","0.018371582"
"1428","-0.027786255","0.094940186","0.011978149"
"1468","-0.025650024","0.08854675","-0.001876831"
"1478","-0.019256592","0.008666992","0.0013275146"
"1516","-0.025650024","0.011856079","-8.087158E-4"
"1533","-0.011810303","0.06512451","0.006652832"
"1564","-0.009674072","0.061920166","0.009841919"
"1569","0.023345947","0.07470703","0.027954102"
"1616","0.040390015","0.094940186","0.030075073"
"1624","0.015899658","0.073638916","0.043930054"
"1630","0.019088745","0.08428955","0.040740967"
"1665","0.01802063","0.09388733","0.038604736"
"1676","-0.053344727","0.14501953","0.026885986"
"1713","-0.06613159","0.13755798","0.026885986"
"1748","-0.051223755","0.083221436","0.04286194"
"1756","-0.07891846","0.017181396","0.062042236"
"1765","-0.08531189","0.02571106","0.05883789"
"1798","-0.086380005","0.03529358","0.05671692"
"1804","-0.06506348","0.02571106","0.016235352"
"1816","-0.04057312","-9.3078613E-4","0.013031006"
"1847","-0.022460938","1.373291E-4","0.0077056885"
"1857","0.040390015","0.034225464","-8.087158E-4"
"1893","0.057434082","0.031036377","-0.001876831"
"1925","0.046783447","0.0448761","-0.001876831"
"1931","0.009506226","0.007598877","0.017303467"
"1959","0.009506226","0.010787964","0.018371582"
"1996","0.0393219","0.027832031","0.020492554"
"2033","0.037200928","-0.014770508","0.0236969"
"2042","0.01802063","-0.049926758","0.031143188"
"2073","0.010559082","-0.028625488","0.029022217"
"2106","-0.01713562","0.019317627","-0.0029449463"
"2112","0.033996582","-0.0030517578","-0.0072021484"
"2141","0.042526245","-0.0073242188","-0.0029449463"
"2173","0.04359436","-0.03501892","-8.087158E-4"
"2207","0.027618408","0.017181396","2.593994E-4"
"2214","-0.007537842","0.016113281","-0.005065918"
"2240","-0.008605957","0.010787964","-0.006134033"
"2244","-0.021392822","0.029968262","-0.016784668"
"2274","-0.02671814","0.032089233","-0.0231781"
"2312","0.016952515","-0.04034424","0.0013275146"
"2320","0.026550293","-0.013717651","-8.087158E-4"
"2351","0.0393219","0.015045166","-0.013595581"
"2368","-0.016067505","0.007598877","-0.010391235"
"2380","-0.022460938","-9.3078613E-4","-0.009338379"
"2396","-0.018188477","-0.011581421","-0.012527466"
"2415","0.007369995","-0.045669556","-0.011459351"
"2431","0.021224976","-0.08721924","-0.0072021484"
"2458","-0.0032806396","-0.048858643","-0.025314331"
"2480","-0.09703064","-0.039276123","-0.033828735"
"2497","-0.057617188","-0.004119873","-0.019989014"
"2514","0.02015686","0.007598877","-0.006134033"
"2532","0.07128906","0.034225464","0.018371582"
"2547","0.027618408","0.003326416","0.014099121"
"2565","0.01802063","0.003326416","0.011978149"
"2583","-0.016067505","-0.0030517578","-8.087158E-4"
"2595","-0.009674072","-0.06590271","-0.014663696"
"2629","-0.008605957","-0.069107056","-0.014663696"
"2668","-9.1552734E-5","-0.019042969","-0.0040130615"
"2680","-0.045898438","0.040618896","-0.022109985"
"2720","-0.04801941","0.034225464","-0.022109985"
"2728","0.00630188","0.018249512","-0.019989014"
"2769","0.015899658","0.04701233","-0.019989014"
"2784","-9.1552734E-5","0.0022735596","-0.016784668"
"2819","-0.011810303","-0.029693604","-0.013595581"
"2834","0.023345947","-0.069107056","-0.010391235"
"2870","0.04145813","-0.027557373","-0.016784668"
"2911","0.021224976","0.03955078","-0.03277588"
"2948","0.00843811","-0.069107056","-8.087158E-4"
"2953","0.0126953125","1.373291E-4","-0.009338379"
"2965","-0.01713562","0.016113281","-0.008270264"
